event,tier,t_entry,pnl,cost,fee,contracts,n_tickers,n_buys,entry_c,klass,hr,utc_hour,et_hour,block,day
KXITFMATCH-26JUL27JIXKOX,ITF-M,2026-07-27 05:58:11.927642+00:00,0.5647999999999991,15.120000000000001,0.3152,16.0,1,6,83.0,bot,2026-07-27 05:00:00+00:00,5,1,04-07,2026-07-27
KXITFMATCH-26JUL27SENKHO,ITF-M,2026-07-27 06:01:12.294496+00:00,2.9267000000000003,6.9,0.1733,10.0,1,1,48.0,bot,2026-07-27 06:00:00+00:00,6,2,04-07,2026-07-27
KXITFMATCH-26JUL27DUHLUT,ITF-M,2026-07-27 06:21:50.627299+00:00,2.5311,8.14,0.3289,11.0,1,1,52.0,bot,2026-07-27 06:00:00+00:00,6,2,04-07,2026-07-27
KXITFMATCH-26JUL27KOZSEL,ITF-M,2026-07-27 06:24:48.371304+00:00,1.3753999999999997,8.3,0.3246,10.0,1,1,55.0,bot,2026-07-27 06:00:00+00:00,6,2,04-07,2026-07-27
KXATPCHALLENGERMATCH-26JUL26BITYIL,Challenger,2026-07-27 07:44:17.339097+00:00,4.228599999999998,11.52,0.2514,16.0,1,1,38.0,bot,2026-07-27 07:00:00+00:00,7,3,04-07,2026-07-27
KXATPCHALLENGERMATCH-26JUL27VRBJAN,Challenger,2026-07-27 08:48:01.711918+00:00,-1.3726999999999996,9.12,0.2527,8.0,1,1,71.0,bot,2026-07-27 08:00:00+00:00,8,4,08-11,2026-07-27
KXATPCHALLENGERMATCH-26JUL27BLACOM,Challenger,2026-07-27 08:50:44.108418+00:00,-1.6671000000000002,10.530000000000001,0.1371,9.0,1,1,69.0,bot,2026-07-27 08:00:00+00:00,8,4,08-11,2026-07-27
KXATPCHALLENGERMATCH-26JUL27SAHTUR,Challenger,2026-07-27 08:51:11.432586+00:00,-0.8602,7.7,0.1602,7.0,1,1,84.0,bot,2026-07-27 08:00:00+00:00,8,4,08-11,2026-07-27
KXATPCHALLENGERMATCH-26JUL27BASNAK,Challenger,2026-07-27 09:08:43.852109+00:00,-1.3691999999999995,8.19,0.1792,7.0,1,1,84.0,bot,2026-07-27 09:00:00+00:00,9,5,08-11,2026-07-27
KXATPCHALLENGERMATCH-26JUL27POLKOV,Challenger,2026-07-27 09:25:12.983626+00:00,1.1816000000000002,5.739999999999999,0.0784,7.0,1,1,80.0,bot,2026-07-27 09:00:00+00:00,9,5,08-11,2026-07-27
KXITFMATCH-26JUL27TAKKRI,ITF-M,2026-07-27 09:25:37.668190+00:00,-2.6728,14.280000000000001,0.3928,12.0,1,1,52.0,bot,2026-07-27 09:00:00+00:00,9,5,08-11,2026-07-27
KXITFMATCH-26JUL27BALBRE,ITF-M,2026-07-27 09:25:40.713722+00:00,1.5685999999999996,7.290000000000001,0.1414,9.0,1,1,68.0,bot,2026-07-27 09:00:00+00:00,9,5,08-11,2026-07-27
KXITFMATCH-26JUL27GUABOR,ITF-M,2026-07-27 09:27:24.815748+00:00,-1.0922,7.91,0.1822,7.0,1,1,81.0,bot,2026-07-27 09:00:00+00:00,9,5,08-11,2026-07-27
KXITFWMATCH-26JUL27PAUTRA,ITF-W,2026-07-27 09:37:14.887273+00:00,2.6529,6.21,0.1371,9.0,1,1,68.0,bot,2026-07-27 09:00:00+00:00,9,5,08-11,2026-07-27
KXATPMATCH-26JUL27NISSHA,ATP,2026-07-27 22:18:13.349302+00:00,-2.0877999999999997,9.84,0.2478,8.0,1,1,74.0,bot,2026-07-27 22:00:00+00:00,22,18,20-23,2026-07-27
KXATPCHALLENGERMATCH-26JUL26SHETOK,Challenger,2026-07-27 23:15:25.760830+00:00,2.2052,6.66,0.1348,9.0,1,1,69.0,bot,2026-07-27 23:00:00+00:00,23,19,20-23,2026-07-27
KXATPCHALLENGERMATCH-26JUL26ZINARS,Challenger,2026-07-27 23:15:28.992652+00:00,2.24,5.76,0.0,8.0,1,1,72.0,bot,2026-07-27 23:00:00+00:00,23,19,20-23,2026-07-27
KXWTAMATCH-26JUL26GIBMAR,WTA,2026-07-27 23:22:18.290635+00:00,2.2988,6.66,0.0412,9.0,1,1,69.0,bot,2026-07-27 23:00:00+00:00,23,19,20-23,2026-07-27
KXWTAMATCH-26JUL27SAMKEY,WTA,2026-07-27 23:32:17.562120+00:00,-0.46799999999999975,8.24,0.228,8.0,1,1,74.0,bot,2026-07-27 23:00:00+00:00,23,19,20-23,2026-07-27
KXATPCHALLENGERMATCH-26JUL26ZHUSHE,Challenger,2026-07-27 23:39:06.139843+00:00,1.0878999999999999,19.41,0.5021,21.0,1,2,69.0,bot,2026-07-27 23:00:00+00:00,23,19,20-23,2026-07-27
KXWTAMATCH-26JUL27KRUBOU,WTA,2026-07-28 00:48:14.529559+00:00,1.1534,23.34,0.5066,25.0,1,2,69.0,bot,2026-07-28 00:00:00+00:00,0,20,00-03,2026-07-28
