,n,total,mean,se,t,win,contracts,c_per_ct,mde_$,p,family,rank,bh_crit,bh_pass
WTA | day,4.0,-11.551100000000002,-2.8877750000000004,0.4497176139442024,-6.421307305873712,0.0,35.0,-33.00314285714286,1.2592093190437665,1.3510903507096828e-10,tier x night,1,0.002380952380952381,True
04-07,5.0,11.626599999999996,2.325319999999999,0.6335714935190818,3.6701777522917634,1.0,63.0,18.45492063492063,1.774000181853429,0.00024238186019442942,4h block,2,0.004761904761904762,True
Challenger | night,6.0,13.174499999999998,2.19575,0.6235486314902257,3.5213773058123037,0.8333333333333334,67.0,19.663432835820892,1.7459361681726318,0.00042931128764434057,tier x night,3,0.007142857142857143,True
WTA,8.0,-11.3768,-1.4221,0.7830156530090204,-1.8161833604923057,0.25,86.0,-13.228837209302323,2.192443828425257,0.06934224967827984,tier,4,0.009523809523809525,False
ATP | day,3.0,9.3642,3.1214,1.7399339364853295,1.7939761588334986,0.6666666666666666,29.0,32.29034482758621,4.8718150221589225,0.07281697425028555,tier x night,5,0.011904761904761904,False
Challenger,32.0,17.7386,0.55433125,0.3969096696931398,1.3966181535173143,0.5625,291.0,6.095738831615121,1.1113470751407912,0.16252842830662528,tier,6,0.014285714285714285,False
night,19.0,15.1817,0.7990368421052632,0.5990019937294395,1.333946882430873,0.6842105263157895,212.0,7.1611792452830185,1.6772055824424306,0.1822212652957842,night/day,7,0.016666666666666666,False
ITF-W,24.0,-18.3216,-0.7634,0.7175043585435461,-1.063965662242968,0.4166666666666667,341.0,-5.372903225806452,2.009012203921929,0.2873442552020158,tier,8,0.01904761904761905,False
ITF-W | day,22.0,-17.5743,-0.7988318181818183,0.7684794803690774,-1.0394966145331084,0.4090909090909091,324.0,-5.424166666666666,2.1517425450334167,0.298573831753028,tier x night,9,0.02142857142857143,False
ATP,4.0,7.276400000000001,1.8191000000000002,1.7915552856852246,1.0153747498248376,0.5,37.0,19.665945945945946,5.016354799918629,0.30992722465699707,tier,10,0.023809523809523808,False
12-15,31.0,-18.865999999999996,-0.6085806451612902,0.6492054074337924,-0.9374238695375543,0.45161290322580644,493.0,-3.826774847870182,1.8177751408146186,0.3485405674688167,4h block,11,0.026190476190476195,False
day,89.0,-22.106099999999994,-0.24838314606741566,0.3181874994624833,-0.7806188064804912,0.4606741573033708,1025.0,-2.1566926829268285,0.8909249984949532,0.43502672736386927,night/day,12,0.02857142857142857,False
16-19,28.0,-9.1811,-0.3278964285714286,0.566559742537896,-0.5787499604236287,0.42857142857142855,249.0,-3.6871887550200806,1.5863672791061088,0.5627578997882834,4h block,13,0.030952380952380953,False
ITF-M | night,6.0,4.6679999999999975,0.7779999999999996,1.4170857454649668,0.5490140610684968,0.8333333333333334,69.0,6.765217391304344,3.967840087301907,0.5829958002482414,tier x night,14,0.03333333333333333,False
08-11,30.0,5.941000000000001,0.19803333333333337,0.41262604500825817,0.47993415764477493,0.5,283.0,2.0992932862190816,1.1553529260231228,0.6312742119703199,4h block,15,0.03571428571428572,False
Challenger | day,26.0,4.564100000000003,0.17554230769230783,0.43803154087956436,0.4007526657551191,0.5,224.0,2.0375446428571444,1.22648831446278,0.6886022316276885,tier x night,16,0.0380952380952381,False
ITF-M | day,34.0,-6.909000000000002,-0.20320588235294124,0.5183366417913655,-0.3920345697550226,0.5,413.0,-1.6728813559322038,1.4513425970158234,0.6950326711666404,tier x night,17,0.04047619047619048,False
00-03,6.0,2.3067999999999995,0.38446666666666657,1.1265695118860226,0.34127203213854046,0.5,68.0,3.39235294117647,3.1543946332808632,0.7328988005629624,4h block,18,0.04285714285714286,False
20-23,8.0,1.2483000000000004,0.15603750000000005,1.0404432345223802,0.149972141509123,0.625,81.0,1.5411111111111118,2.9132410566626645,0.8807865945031177,4h block,19,0.045238095238095244,False
ITF-M,40.0,-2.2410000000000068,-0.05602500000000017,0.4847713091513173,-0.11556995833371904,0.55,482.0,-0.46493775933610104,1.3573596656236884,0.9079933731056589,tier,20,0.047619047619047616,False
WTA | night,4.0,0.17430000000000012,0.04357500000000003,1.1076168067635124,0.039341223186498415,0.5,51.0,0.3417647058823532,3.1013270589378346,0.9686183406906854,tier x night,21,0.05,False
