before,after,tier
4.5,-3.0,Challenger
3.0,4.5,Challenger
5.0,-2.0,Challenger
2.0,-4.0,Challenger
4.0,-2.0,Challenger
2.0,10.0,Challenger
3.5,-3.0,Challenger
3.0,-3.0,Challenger
3.0,-4.0,Challenger
9.0,12.0,Challenger
13.0,-5.0,Challenger
5.0,15.0,Challenger
7.0,-4.0,Challenger
0.5,0.0,Challenger
4.5,-7.0,Challenger
0.0,-2.0,Challenger
4.5,20.5,Challenger
22.0,-0.5,Challenger
5.5,0.5,Challenger
0.0,-3.0,Challenger
5.0,3.0,Challenger
6.0,-0.0,Challenger
2.0,-6.5,Challenger
5.0,-2.0,Challenger
4.5,-1.0,Challenger
1.0,1.0,Challenger
6.0,19.0,Challenger
25.0,-0.0,Challenger
21.0,1.0,Challenger
-0.5,3.0,Challenger
3.5,-3.0,Challenger
3.0,4.0,Challenger
5.0,-2.0,Challenger
2.0,-4.0,Challenger
5.0,-3.0,Challenger
3.0,10.0,Challenger
2.5,-1.5,Challenger
1.5,-3.0,Challenger
3.0,-4.0,Challenger
6.0,12.0,Challenger
13.0,-5.0,Challenger
5.0,15.0,Challenger
6.0,-2.0,Challenger
1.0,-0.0,Challenger
4.5,-7.0,Challenger
-1.0,-1.0,Challenger
4.0,21.5,Challenger
22.0,-2.5,Challenger
5.0,1.0,Challenger
-0.0,-3.0,Challenger
5.0,3.0,Challenger
6.0,0.0,Challenger
2.0,-5.5,Challenger
6.0,-4.0,Challenger
3.5,-1.0,Challenger
2.0,-0.0,Challenger
6.0,19.0,Challenger
26.5,0.0,Challenger
21.0,1.0,Challenger
-0.5,3.0,Challenger
1.5,1.0,Challenger
0.0,0.5,Challenger
7.0,-1.0,Challenger
2.5,-3.0,Challenger
3.0,-1.0,Challenger
18.0,6.0,Challenger
6.0,-1.0,Challenger
6.0,-7.0,Challenger
8.0,-4.0,Challenger
-1.0,-2.0,Challenger
9.5,6.0,Challenger
2.5,5.5,Challenger
7.5,25.5,Challenger
25.5,4.0,Challenger
2.0,-3.0,Challenger
2.0,-3.0,Challenger
4.0,7.0,Challenger
1.0,1.0,Challenger
-0.0,1.0,Challenger
7.0,-1.0,Challenger
2.0,-3.0,Challenger
3.0,-0.5,Challenger
17.5,6.0,Challenger
6.0,-1.0,Challenger
6.0,-7.0,Challenger
8.0,-4.0,Challenger
-1.0,-2.0,Challenger
9.5,6.0,Challenger
1.5,5.5,Challenger
5.5,26.5,Challenger
26.5,4.0,Challenger
2.0,-2.0,Challenger
2.0,-3.0,Challenger
4.0,8.0,Challenger
4.0,5.0,Challenger
0.0,10.0,Challenger
10.0,2.0,Challenger
-1.0,0.0,Challenger
1.0,-2.0,Challenger
3.0,5.0,Challenger
3.0,1.0,Challenger
1.0,1.0,Challenger
4.0,0.0,Challenger
1.0,0.0,Challenger
