event,tier,match_date,t_entry,t_settled,pnl,fee,cost,contracts,n_tickers,n_buy_orders,entry_px,klass
KXATPMATCH-26JUL25VANGAS,ATP,2026-07-25,2026-07-25 17:12:43.258817+00:00,2026-07-25 18:42:06.025440+00:00,6.7772999999999985,0.7582,28.014499999999998,35.55,1,1,69.0,manual
KXATPMATCH-26JUL25SHEHAR,ATP,2026-07-25,2026-07-25 18:13:45.735815+00:00,2026-07-25 18:22:15.966245+00:00,9.9769,0.5141,24.479,34.97,1,1,99.0,manual
KXATPMATCH-26JUL25HEWLAJ,ATP,2026-07-25,2026-07-25 18:35:14.762077+00:00,2026-07-25 18:52:06.009723+00:00,0.8290999999999951,1.2523,41.2186,43.3,1,2,99.0,manual
KXATPCHALLENGERMATCH-26JUL25FEAZHE,Challenger,2026-07-25,2026-07-25 18:43:18.041408+00:00,2026-07-25 19:22:16.027560+00:00,6.899299999999993,0.8659,67.8648,75.63,1,2,99.0,manual
KXITFWMATCH-26JUL25BUCMAL,ITF-W,2026-07-25,2026-07-25 18:56:39.245443+00:00,2026-07-25 19:52:06.029024+00:00,4.7262,2.1289,93.2249,100.08000000000001,2,4,99.0,mixed
KXATPMATCH-26JUL25SVAYME,ATP,2026-07-25,2026-07-25 19:46:19.675692+00:00,2026-07-25 20:42:06.012914+00:00,14.580200000000007,0.8836,54.8262,70.29,1,1,99.0,manual
KXATPMATCH-26JUL25BLODAR,ATP,2026-07-25,2026-07-25 20:37:31.811537+00:00,2026-07-25 21:46:56.278243+00:00,15.86330000000001,2.4699999999999998,83.8967,102.23,2,2,99.0,manual
KXATPCHALLENGERMATCH-26JUL25MICSUR,Challenger,2026-07-25,2026-07-25 21:02:04.313710+00:00,2026-07-25 21:32:36.068335+00:00,9.614799999999994,0.7399,50.5553,60.91,1,1,99.0,manual
KXATPMATCH-26JUL25OCOMAR,ATP,2026-07-25,2026-07-25 21:31:12.060441+00:00,2026-07-25 21:52:16.066342+00:00,-1.363,0.0715,1.2915,6.15,1,1,99.0,bot
KXITFWMATCH-26JUL25LUXCHA,ITF-W,2026-07-25,2026-07-25 21:54:36.721603+00:00,2026-07-25 22:22:46.032736+00:00,6.0771999999999995,0.3114,5.4714,21.259999999999998,2,2,99.0,manual
KXITFMATCH-26JUL25TUDMBI,ITF-M,2026-07-25,2026-07-25 21:55:48.121344+00:00,2026-07-25 22:47:36.436615+00:00,4.968399999999999,1.0144,22.127200000000002,39.91,2,2,99.0,manual
KXATPMATCH-26JUL25MAGJOH,ATP,2026-07-25,2026-07-26 01:48:02.867309+00:00,2026-07-26 02:42:06.025675+00:00,-25.0001,0.4301,24.57,32.76,1,1,75.0,manual
KXWTACHALLENGERMATCH-26JUL25SHIDON,Challenger,2026-07-25,2026-07-26 01:54:09.292760+00:00,2026-07-26 02:22:56.017363+00:00,14.5088,0.0612,0.93,0.0,1,1,6.0,bot
KXATPMATCH-26JUL25KWONRUB,ATP,2026-07-25,2026-07-26 04:20:19.174160+00:00,2026-07-26 05:27:36.026216+00:00,3.778100000000003,0.8198,88.2721,92.87,2,2,99.0,manual
KXATPMATCH-26JUL25MEJHER,ATP,2026-07-25,2026-07-26 04:23:23.414215+00:00,2026-07-26 04:52:06.085618+00:00,6.433200000000001,0.51,24.616799999999998,31.56,1,1,99.0,manual
KXATPMATCH-26JUL25BOYCLA,ATP,2026-07-25,2026-07-26 04:33:50.446268+00:00,2026-07-26 05:52:16.028607+00:00,-7.215600000000006,3.0211,138.4745,212.77,1,3,99.0,manual
KXWTACHALLENGERMATCH-26JUL25PLEWON,Challenger,2026-07-25,2026-07-26 04:47:10.721900+00:00,2026-07-26 05:02:56.015122+00:00,7.501599999999998,0.5648,25.5436,33.61,1,1,99.0,manual
KXITFMATCH-26JUL26ZAHPER,ITF-M,2026-07-26,2026-07-26 13:51:45.290070+00:00,2026-07-26 14:02:56.018959+00:00,-4.9998000000000005,0.2526,4.7472,19.78,1,1,99.0,manual
KXITFMATCH-26JUL26DENHOL,ITF-M,2026-07-26,2026-07-26 13:52:34.408888+00:00,2026-07-26 14:32:56.010176+00:00,4.4319,0.2769,24.7212,29.43,1,1,99.0,manual
KXITFWMATCH-26JUL26MPECHL,ITF-W,2026-07-26,2026-07-26 13:58:38.769807+00:00,2026-07-26 14:47:35.959017+00:00,-0.01399999999999868,0.7604,34.2536,15.24,1,2,99.0,manual
KXATPCHALLENGERMATCH-26JUL26MCKFIL,Challenger,2026-07-26,2026-07-26 14:11:45.275764+00:00,2026-07-27 08:02:46.011889+00:00,1.2437000000000011,0.6049,28.961399999999998,30.81,1,1,99.0,manual
KXATPMATCH-26JUL26DAMSHE,ATP,2026-07-26,2026-07-26 15:00:56.759142+00:00,2026-07-26 16:32:26.026320+00:00,-5.904800000000009,2.8348,85.49000000000001,139.61,2,4,99.0,manual
KXATPMATCH-26JUL26GIRILA,ATP,2026-07-26,2026-07-26 16:49:46.946217+00:00,2026-07-26 18:32:26.017893+00:00,9.313299999999995,1.8096999999999999,113.357,124.47999999999999,2,2,99.0,manual
KXATPMATCH-26JUL26MARECH,ATP,2026-07-26,2026-07-26 16:50:16.272935+00:00,2026-07-26 18:07:16.016694+00:00,7.6399000000000035,0.485,49.5051,57.63,1,2,99.0,manual
KXATPMATCH-26JUL26SVAHEW,ATP,2026-07-26,2026-07-26 18:18:03.396457+00:00,2026-07-26 18:37:06.113980+00:00,-0.994,0.0225,0.9715,1.45,1,1,99.0,bot
KXWTAMATCH-26JUL26KASSMI,WTA,2026-07-26,2026-07-26 19:23:43.551111+00:00,2026-07-26 20:42:26.448747+00:00,3.538099999999999,1.8953,51.7566,57.19,1,1,42.0,manual
KXATPMATCH-26JUL26MCDSVA,ATP,2026-07-26,2026-07-26 19:45:52.148665+00:00,2026-07-26 20:27:06.069777+00:00,2.913600000000003,0.6584,24.028,27.6,1,1,99.0,manual
KXWTAMATCH-26JUL26HUNJOH,WTA,2026-07-26,2026-07-26 23:10:44.571886+00:00,2026-07-26 23:52:35.976957+00:00,-0.6933000000000034,1.6535,99.13980000000001,152.32,2,3,99.0,manual
KXWTAMATCH-26JUL26PRODRE,WTA,2026-07-26,2026-07-27 01:34:05.288923+00:00,2026-07-27 02:32:26.278979+00:00,-19.994000000000003,1.01,18.984,79.1,1,1,24.0,manual
KXITFMATCH-26JUL26VISVEN,ITF-M,2026-07-26,2026-07-27 05:03:47.116465+00:00,2026-07-27 05:28:25.989399+00:00,24.2608,0.8618,24.1374,49.26,1,1,99.0,manual
KXITFMATCH-26JUL26BRUNEC,ITF-M,2026-07-26,2026-07-27 05:04:29.566563+00:00,2026-07-27 05:23:56.038433+00:00,-0.755400000000001,1.1201,36.1053,36.47,1,1,99.0,manual
KXITFMATCH-26JUL26CRONAK,ITF-M,2026-07-26,2026-07-27 05:25:10.281388+00:00,2026-07-27 05:58:46.044559+00:00,5.1913,0.2845,14.7042,20.18,1,3,99.0,mixed
KXITFMATCH-26JUL27JIXKOX,ITF-M,2026-07-27,2026-07-27 05:58:11.927642+00:00,2026-07-27 06:48:35.959969+00:00,0.5647999999999991,0.3152,15.120000000000001,16.0,1,6,83.0,bot
KXITFMATCH-26JUL27SENKHO,ITF-M,2026-07-27,2026-07-27 06:01:12.294496+00:00,2026-07-27 06:58:25.976674+00:00,2.9266999999999994,0.1733,6.9,10.0,1,1,48.0,bot
KXITFMATCH-26JUL27DUHLUT,ITF-M,2026-07-27,2026-07-27 06:21:50.627299+00:00,2026-07-27 07:08:25.974154+00:00,2.5310999999999995,0.3289,8.14,11.0,1,1,52.0,bot
