ticker,event,tier,market_result,value,yes_ct,no_ct,yes_cost,no_cost,fee,revenue,payout,cost,pnl,t_settled,f_yes_buy,f_sell,f_no_buy,f_yes_cost,f_no_cost,f_fee,t_first,t_last,n_fills,n_buy_fills,klass,match_date,t_entry,entry_px,n_buy_orders,gross_contracts
KXARGPREMDIVGAME-26JUL25RIVBAR-BAR,KXARGPREMDIVGAME-26JUL25RIVBAR,OTHER,yes,100.0,15.71,15.71,9.426,2.5136,0.4118,0.0,15.71,11.9396,3.3586000000000005,2026-07-26 00:23:26.031537+00:00,15.71,15.71,0.0,9.426,2.5136000000000003,0.4118,2026-07-25 23:58:14.107928+00:00,2026-07-26 00:09:59.667494+00:00,2,1,manual,2026-07-25,2026-07-25 23:58:14.107928+00:00,99.0,1,15.71
KXATPCHALLENGERMATCH-26JUL25FEAZHE-FEA,KXATPCHALLENGERMATCH-26JUL25FEAZHE,Challenger,yes,100.0,75.63,31.95,64.3503,3.5145,0.8659,4368.0,75.63,67.8648,6.899299999999993,2026-07-25 19:22:16.027560+00:00,75.63,31.95,0.0,64.3503,3.5145,0.8659000000000001,2026-07-25 18:43:18.041408+00:00,2026-07-25 19:16:53.959236+00:00,7,3,manual,2026-07-25,2026-07-25 18:43:18.041408+00:00,99.0,2,75.63
KXATPCHALLENGERMATCH-26JUL25MICSUR-MIC,KXATPCHALLENGERMATCH-26JUL25MICSUR,Challenger,yes,100.0,60.91,60.91,49.3371,1.2182,0.7399,0.0,60.91,50.5553,9.614799999999994,2026-07-25 21:32:36.068335+00:00,60.91,60.91,0.0,49.3371,1.2182,0.7399,2026-07-25 21:02:04.313710+00:00,2026-07-25 21:27:18.238415+00:00,3,1,manual,2026-07-25,2026-07-25 21:02:04.313710+00:00,99.0,1,60.91
KXATPCHALLENGERMATCH-26JUL26BITYIL-YIL,KXATPCHALLENGERMATCH-26JUL26BITYIL,Challenger,no,0.0,16.0,16.0,5.44,6.08,0.2514,0.0,16.0,11.52,4.2286,2026-07-27 08:37:16.013778+00:00,16.0,16.0,0.0,5.44,6.08,0.2514,2026-07-27 07:44:17.339097+00:00,2026-07-27 08:05:43.880278+00:00,2,1,bot,2026-07-26,2026-07-27 07:44:17.339097+00:00,38.0,1,16.0
KXATPCHALLENGERMATCH-26JUL26CHUBOU-CHU,KXATPCHALLENGERMATCH-26JUL26CHUBOU,Challenger,yes,100.0,13.0,13.0,6.24,3.12,0.2272,0.0,13.0,9.36,3.4128000000000007,2026-07-28 04:03:06.075424+00:00,13.0,13.0,0.0,6.24,3.12,0.2272,2026-07-28 03:09:30.386630+00:00,2026-07-28 03:37:39.953969+00:00,2,1,bot,2026-07-26,2026-07-28 03:09:30.386630+00:00,48.0,1,13.0
KXATPCHALLENGERMATCH-26JUL26MCKFIL-MCK,KXATPCHALLENGERMATCH-26JUL26MCKFIL,Challenger,yes,100.0,30.81,30.81,24.648,4.3134,0.6049,0.0,30.81,28.961399999999998,1.2437000000000011,2026-07-27 08:02:46.011889+00:00,30.81,30.810000000000002,0.0,24.648,4.313400000000001,0.6049,2026-07-26 14:11:45.275764+00:00,2026-07-26 14:46:58.774362+00:00,3,1,manual,2026-07-26,2026-07-26 14:11:45.275764+00:00,99.0,1,30.81
KXATPCHALLENGERMATCH-26JUL26SHETOK-SHE,KXATPCHALLENGERMATCH-26JUL26SHETOK,Challenger,no,0.0,9.0,9.0,6.21,0.45,0.1348,0.0,9.0,6.66,2.2052,2026-07-28 01:09:36.020738+00:00,9.0,9.0,0.0,6.209999999999999,0.45000000000000007,0.1348,2026-07-27 23:15:25.760830+00:00,2026-07-28 00:01:22.752517+00:00,3,1,bot,2026-07-26,2026-07-27 23:15:25.760830+00:00,69.0,1,9.0
KXATPCHALLENGERMATCH-26JUL26ZHUSHE-ZHU,KXATPCHALLENGERMATCH-26JUL26ZHUSHE,Challenger,yes,100.0,21.0,21.0,12.09,7.32,0.5021,0.0,21.0,19.41,1.0878999999999999,2026-07-28 01:02:56.022764+00:00,21.0,21.0,0.0,12.09,7.32,0.5021,2026-07-27 23:39:06.139843+00:00,2026-07-28 00:51:07.312224+00:00,4,2,bot,2026-07-26,2026-07-27 23:39:06.139843+00:00,69.0,2,21.0
KXATPCHALLENGERMATCH-26JUL26ZINARS-ZIN,KXATPCHALLENGERMATCH-26JUL26ZINARS,Challenger,yes,100.0,8.0,0.0,5.76,0.0,0.0,800.0,8.0,5.76,2.24,2026-07-27 23:33:06.015819+00:00,8.0,0.0,0.0,5.76,0.0,0.0,2026-07-27 23:16:09.679207+00:00,2026-07-27 23:16:22.765384+00:00,2,2,bot,2026-07-26,2026-07-27 23:15:28.992652+00:00,72.0,1,8.0
KXATPCHALLENGERMATCH-26JUL27BASNAK-BAS,KXATPCHALLENGERMATCH-26JUL27BASNAK,Challenger,no,0.0,7.0,7.0,5.81,2.38,0.1792,0.0,7.0,8.19,-1.3691999999999995,2026-07-27 10:32:36.009621+00:00,7.0,7.0,0.0,5.81,2.3800000000000003,0.1792,2026-07-27 09:08:43.852109+00:00,2026-07-27 09:17:32.811626+00:00,2,1,bot,2026-07-27,2026-07-27 09:08:43.852109+00:00,84.0,1,7.0
KXATPCHALLENGERMATCH-26JUL27BLACOM-COM,KXATPCHALLENGERMATCH-26JUL27BLACOM,Challenger,yes,100.0,9.0,9.0,6.12,4.41,0.1371,0.0,9.0,10.530000000000001,-1.6671000000000011,2026-07-27 09:57:15.959380+00:00,9.0,9.0,0.0,6.12,4.41,0.1371,2026-07-27 08:50:44.108418+00:00,2026-07-27 09:26:55.903801+00:00,2,1,bot,2026-07-27,2026-07-27 08:50:44.108418+00:00,69.0,1,9.0
KXATPCHALLENGERMATCH-26JUL27MILVAN-MIL,KXATPCHALLENGERMATCH-26JUL27MILVAN,Challenger,yes,100.0,9.0,9.0,6.03,0.45,0.0,0.0,9.0,6.48,2.5199999999999996,2026-07-28 19:12:26.060885+00:00,9.0,9.0,0.0,6.03,0.45,0.0,2026-07-28 17:56:19.066414+00:00,2026-07-28 19:06:34.750701+00:00,2,1,bot,2026-07-27,2026-07-28 17:56:08.876018+00:00,67.0,1,9.0
KXATPCHALLENGERMATCH-26JUL27POLKOV-POL,KXATPCHALLENGERMATCH-26JUL27POLKOV,Challenger,yes,100.0,7.0,7.0,5.6,0.14,0.0784,0.0,7.0,5.739999999999999,1.1816000000000006,2026-07-27 10:12:25.955728+00:00,7.0,7.0,0.0,5.6000000000000005,0.14,0.0784,2026-07-27 09:25:12.983626+00:00,2026-07-27 10:05:08.041680+00:00,2,1,bot,2026-07-27,2026-07-27 09:25:12.983626+00:00,80.0,1,7.0
KXATPCHALLENGERMATCH-26JUL27SAHTUR-SAH,KXATPCHALLENGERMATCH-26JUL27SAHTUR,Challenger,no,0.0,7.0,7.0,5.88,1.82,0.1602,0.0,7.0,7.7,-0.8602000000000002,2026-07-27 10:37:26.011473+00:00,7.0,7.0,0.0,5.88,1.82,0.1602,2026-07-27 08:51:11.432586+00:00,2026-07-27 09:07:37.174316+00:00,2,1,bot,2026-07-27,2026-07-27 08:51:11.432586+00:00,84.0,1,7.0
KXATPCHALLENGERMATCH-26JUL27VRBJAN-VRB,KXATPCHALLENGERMATCH-26JUL27VRBJAN,Challenger,yes,100.0,8.0,8.0,5.68,3.44,0.2527,0.0,8.0,9.12,-1.3726999999999991,2026-07-27 10:37:26.015273+00:00,8.0,8.0,0.0,5.68,3.44,0.25270000000000004,2026-07-27 08:48:01.711918+00:00,2026-07-27 09:50:32.161217+00:00,2,1,bot,2026-07-27,2026-07-27 08:48:01.711918+00:00,71.0,1,8.0
KXATPCHALLENGERMATCH-26JUL28ADDPOU-ADD,KXATPCHALLENGERMATCH-26JUL28ADDPOU,Challenger,yes,100.0,11.0,11.0,5.94,7.59,0.0,0.0,11.0,13.530000000000001,-2.530000000000001,2026-07-28 17:02:26.071818+00:00,11.0,11.0,0.0,5.94,7.59,0.0,2026-07-28 15:55:29.649445+00:00,2026-07-28 16:21:15.255616+00:00,2,1,bot,2026-07-28,2026-07-28 15:54:27.624146+00:00,54.0,1,11.0
KXATPCHALLENGERMATCH-26JUL28ALKSIN-ALK,KXATPCHALLENGERMATCH-26JUL28ALKSIN,Challenger,no,0.0,8.0,8.0,5.6,3.84,0.2574,0.0,8.0,9.44,-1.6973999999999996,2026-07-28 14:02:46.019504+00:00,8.0,8.0,0.0,5.6,3.84,0.2574,2026-07-28 13:01:31.509269+00:00,2026-07-28 13:32:06.565765+00:00,2,1,bot,2026-07-28,2026-07-28 13:01:31.509269+00:00,70.0,1,8.0
KXATPCHALLENGERMATCH-26JUL28ARNPIE-PIE,KXATPCHALLENGERMATCH-26JUL28ARNPIE,Challenger,yes,100.0,9.0,9.0,6.12,0.09,0.1372,0.0,9.0,6.21,2.6528,2026-07-28 14:52:35.961643+00:00,9.0,9.0,0.0,6.12,0.09,0.1372,2026-07-28 14:23:12.849814+00:00,2026-07-28 14:47:29.021171+00:00,3,2,bot,2026-07-28,2026-07-28 14:00:44.610948+00:00,66.0,2,9.0
KXATPCHALLENGERMATCH-26JUL28GOMCER-GOM,KXATPCHALLENGERMATCH-26JUL28GOMCER,Challenger,yes,100.0,8.0,8.0,5.84,0.4,0.0,0.0,8.0,6.24,1.7599999999999998,2026-07-28 15:32:36.029081+00:00,8.0,8.0,0.0,5.84,0.4,0.0,2026-07-28 14:44:34.507303+00:00,2026-07-28 15:26:16.143097+00:00,2,1,bot,2026-07-28,2026-07-28 14:44:30.919623+00:00,73.0,1,8.0
