ticker,pnl,cost,fee,contracts,klass,tier,event,t_entry,entry_c,n_buys
KXATPCHALLENGERMATCH-26JUL25FEAZHE-FEA,6.899299999999991,67.8648,0.8659,75.63,manual,Challenger,KXATPCHALLENGERMATCH-26JUL25FEAZHE,2026-07-25 18:43:18.041408+00:00,99.0,2
KXATPCHALLENGERMATCH-26JUL25MICSUR-MIC,9.614799999999997,50.5553,0.7399,60.91,manual,Challenger,KXATPCHALLENGERMATCH-26JUL25MICSUR,2026-07-25 21:02:04.313710+00:00,99.0,1
KXATPCHALLENGERMATCH-26JUL26BITYIL-YIL,4.228599999999998,11.52,0.2514,16.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL26BITYIL,2026-07-27 07:44:17.339097+00:00,38.0,1
KXATPCHALLENGERMATCH-26JUL26CHUBOU-CHU,3.4128,9.36,0.2272,13.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL26CHUBOU,2026-07-28 03:09:30.386630+00:00,48.0,1
KXATPCHALLENGERMATCH-26JUL26MARLAN-LAN,,,,,bot,Challenger,KXATPCHALLENGERMATCH-26JUL26MARLAN,2026-07-28 01:21:21.362020+00:00,71.0,1
KXATPCHALLENGERMATCH-26JUL26MCKFIL-MCK,1.2436999999999994,28.961399999999998,0.6049,30.81,manual,Challenger,KXATPCHALLENGERMATCH-26JUL26MCKFIL,2026-07-26 14:11:45.275764+00:00,99.0,1
KXATPCHALLENGERMATCH-26JUL26SHETOK-SHE,2.2052,6.66,0.1348,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL26SHETOK,2026-07-27 23:15:25.760830+00:00,69.0,1
KXATPCHALLENGERMATCH-26JUL26ZHUSHE-ZHU,1.0878999999999999,19.41,0.5021,21.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL26ZHUSHE,2026-07-27 23:39:06.139843+00:00,69.0,2
KXATPCHALLENGERMATCH-26JUL26ZINARS-ZIN,2.24,5.76,0.0,8.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL26ZINARS,2026-07-27 23:15:28.992652+00:00,72.0,1
KXATPCHALLENGERMATCH-26JUL27BASNAK-BAS,-1.3691999999999995,8.19,0.1792,7.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL27BASNAK,2026-07-27 09:08:43.852109+00:00,84.0,1
KXATPCHALLENGERMATCH-26JUL27BLACOM-COM,-1.6671000000000002,10.530000000000001,0.1371,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL27BLACOM,2026-07-27 08:50:44.108418+00:00,69.0,1
KXATPCHALLENGERMATCH-26JUL27MILVAN-MIL,2.5199999999999996,6.48,0.0,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL27MILVAN,2026-07-28 17:56:08.876018+00:00,67.0,1
KXATPCHALLENGERMATCH-26JUL27POLKOV-POL,1.1816000000000002,5.739999999999999,0.0784,7.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL27POLKOV,2026-07-27 09:25:12.983626+00:00,80.0,1
KXATPCHALLENGERMATCH-26JUL27SAHTUR-SAH,-0.8602,7.7,0.1602,7.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL27SAHTUR,2026-07-27 08:51:11.432586+00:00,84.0,1
KXATPCHALLENGERMATCH-26JUL27VRBJAN-VRB,-1.3726999999999996,9.12,0.2527,8.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL27VRBJAN,2026-07-27 08:48:01.711918+00:00,71.0,1
KXATPCHALLENGERMATCH-26JUL28ADDPOU-ADD,-2.5300000000000002,13.530000000000001,0.0,11.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28ADDPOU,2026-07-28 15:54:27.624146+00:00,54.0,1
KXATPCHALLENGERMATCH-26JUL28ALKSIN-ALK,-1.6973999999999996,9.44,0.2574,8.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28ALKSIN,2026-07-28 13:01:31.509269+00:00,70.0,1
KXATPCHALLENGERMATCH-26JUL28ARNPIE-PIE,2.6528,6.21,0.1372,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28ARNPIE,2026-07-28 14:00:44.610948+00:00,66.0,2
KXATPCHALLENGERMATCH-26JUL28FELMAY-FEL,,,,,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28FELMAY,2026-07-28 14:34:37.092252+00:00,67.0,2
KXATPCHALLENGERMATCH-26JUL28GOMCER-GOM,1.7600000000000002,6.24,0.0,8.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28GOMCER,2026-07-28 14:44:30.919623+00:00,73.0,1
KXATPCHALLENGERMATCH-26JUL28HOUCAR-CAR,2.9166000000000003,5.9399999999999995,0.1434,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28HOUCAR,2026-07-28 09:33:39.349756+00:00,65.0,1
KXATPCHALLENGERMATCH-26JUL28KASFER-FER,0.5203000000000003,23.93,0.5497,25.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28KASFER,2026-07-28 09:00:41.918111+00:00,66.0,2
KXATPCHALLENGERMATCH-26JUL28KIRINC-INC,1.6496000000000002,6.24,0.1104,8.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28KIRINC,2026-07-28 09:06:15.214308+00:00,74.0,1
KXATPCHALLENGERMATCH-26JUL28KRUHEN-HEN,-1.8358999999999994,10.53,0.3059,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28KRUHEN,2026-07-28 09:00:43.116640+00:00,68.0,1
KXATPCHALLENGERMATCH-26JUL28MAENEU-MAE,2.7407,6.12,0.1393,9.0,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28MAENEU,2026-07-28 15:35:15.966024+00:00,67.0,1
KXATPCHALLENGERMATCH-26JUL28MOLTOP-MOL,,,,,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28MOLTOP,2026-07-28 09:35:06.794024+00:00,67.0,2
KXATPCHALLENGERMATCH-26JUL28MONJOR-MON,,,,,bot,Challenger,KXATPCHALLENGERMATCH-26JUL28MONJOR,2026-07-28 17:53:09.534157+00:00,72.0,1
