ticker,legs,prices,sizes,dirn,size_up,min_gap_s,total,pnl,ev,t_entry
KXITFWMATCH-26JUL28SAGLEV-LEV,3,49->31->19,12->20->32,DOWN,True,749,64.0,-8.793999999999995,KXITFWMATCH-26JUL28SAGLEV,2026-07-28 14:17:24.443483+00:00
KXITFMATCH-26JUL28TABSPI-SPI,2,62->34,10->18,DOWN,True,2361,28.0,-7.7508,KXITFMATCH-26JUL28TABSPI,2026-07-28 14:02:11.119047+00:00
KXITFWMATCH-26JUL28AGUHAR-AGU,2,59->61,10->10,UP,False,4118,20.0,-6.1429,KXITFWMATCH-26JUL28AGUHAR,2026-07-28 17:54:14.103800+00:00
KXITFMATCH-26JUL28BREJAN-BRE,2,67->40,9->15,DOWN,True,1052,24.0,-5.604900000000001,KXITFMATCH-26JUL28BREJAN,2026-07-28 14:00:39.892181+00:00
KXATPCHALLENGERMATCH-26JUL28TABSQU-TAB,2,74->52,8->12,DOWN,True,1049,20.0,-5.0566,KXATPCHALLENGERMATCH-26JUL28TABSQU,2026-07-28 14:09:49.107299+00:00
KXATPCHALLENGERMATCH-26JUL28KASFER-FER,2,66->37,9->16,DOWN,True,2538,25.0,0.5203000000000003,KXATPCHALLENGERMATCH-26JUL28KASFER,2026-07-28 09:00:41.918111+00:00
KXITFMATCH-26JUL27JIXKOX-KOX,2,83->59,6->10,DOWN,True,1313,16.0,0.5647999999999991,KXITFMATCH-26JUL27JIXKOX,2026-07-27 05:58:11.927642+00:00
KXITFMATCH-26JUL28HUDPED-PED,2,68->42,9->14,DOWN,True,1295,23.0,0.6816000000000009,KXITFMATCH-26JUL28HUDPED,2026-07-28 10:28:31.671383+00:00
KXATPCHALLENGERMATCH-26JUL26ZHUSHE-ZHU,2,69->49,9->12,DOWN,True,2025,21.0,1.0879,KXATPCHALLENGERMATCH-26JUL26ZHUSHE,2026-07-27 23:39:06.139843+00:00
KXWTAMATCH-26JUL27KRUBOU-BOU,2,69->39,9->16,DOWN,True,912,25.0,1.1534,KXWTAMATCH-26JUL27KRUBOU,2026-07-28 00:48:14.529559+00:00
KXITFWMATCH-26JUL28CEXSHA-SHA,2,38->24,16->26,DOWN,True,1134,42.0,1.2914999999999983,KXITFWMATCH-26JUL28CEXSHA,2026-07-28 13:19:15.172110+00:00
KXITFMATCH-26JUL28FUNSHA-FUN,2,46->29,13->21,DOWN,True,1703,34.0,1.330699999999999,KXITFMATCH-26JUL28FUNSHA,2026-07-28 12:52:46.569729+00:00
KXITFMATCH-26JUL28WEIRIS-RIS,3,40->69->36,15->9->17,DOWN,True,895,41.0,4.148200000000001,KXITFMATCH-26JUL28WEIRIS,2026-07-28 13:32:08.765254+00:00
KXATPMATCH-26JUL27MAJPAU-MAJ,2,57->68,10->9,UP,False,3885,19.0,6.0143,KXATPMATCH-26JUL27MAJPAU,2026-07-28 16:03:57.403641+00:00
