family,bucket,n,total,mean,contracts,p_two,null_mean,null_sd
4h block,04-07,5,11.626599999999996,2.325319999999999,63.0,0.04771,-0.32550201499999987,6.433009291440961
tier,Challenger,32,17.7386,0.55433125,291.0,0.15513,-2.048502193999999,13.989681960117249
night/day,day,89,-22.106099999999994,-0.24838314606741566,1025.0,0.15559,-5.668912420499998,11.681397313777525
night/day,night,19,15.1817,0.7990368421052632,212.0,0.1569,-1.2037142189999996,11.675769359794215
tier,WTA,8,-11.3768,-1.4221,86.0,0.18538,-0.4921063459999998,8.037579998371303
tier,ATP,4,7.276400000000001,1.8191000000000002,37.0,0.1859,-0.24892816099999993,5.804476115340682
tier,ITF-W,24,-18.3216,-0.7634,341.0,0.19349,-1.6034298049999995,12.744614068911332
4h block,12-15,31,-18.865999999999996,-0.6085806451612902,493.0,0.22539,-1.9308933834999995,13.872682918311915
4h block,08-11,30,5.941000000000001,0.19803333333333337,283.0,0.57029,-1.9966675429999994,13.737611511520827
4h block,16-19,28,-9.1811,-0.3278964285714286,249.0,0.58132,-1.8312972464999993,13.436036215539836
4h block,00-03,6,2.3067999999999995,0.38446666666666657,68.0,0.72488,-0.40261531999999994,7.04285381825565
4h block,20-23,8,1.2483000000000004,0.15603750000000005,81.0,0.84899,-0.5063600634999998,8.047547357202456
tier,ITF-M,40,-2.2410000000000068,-0.05602500000000017,482.0,0.98747,-2.5694884504999993,14.844560582503842
