config,trades,matches,trades_per_match,win_rate,net_$,net_c_per_trade,net_$_per_match,se_$_per_match,t_match,fees_$,avg_entry,settle_frac,stop_frac,target_frac,scored_markets
NIGHT (as it ran 27-28 Jul) [ALL],3280,650,5.046153846153846,21.097560975609756,-7631.88,-5.642764701076149,-11.741353846153848,0.8638563246828014,-13.591790105218186,1707.8700000000001,26.960975609756098,0.03048780487804878,0.7411585365853659,0.22835365853658537,1845
NIGHT (as it ran 27-28 Jul) [train],1962,358,5.4804469273743015,19.877675840978593,-4808.8,-5.800367927056195,-13.432402234636871,1.2951194370573194,-10.371554815945814,1039.37,25.439857288481143,0.0290519877675841,0.7614678899082569,0.20948012232415902,1074
NIGHT (as it ran 27-28 Jul) [HOLDOUT],1475,302,4.8841059602649,22.305084745762713,-3254.54,-5.521701535724528,-10.77662251655629,1.1365658946595234,-9.481740185231056,753.49,28.54779661016949,0.031864406779661014,0.7206779661016949,0.24745762711864408,771
NIGHT floored at 25c (live band) [ALL],1534,622,2.4662379421221865,33.89830508474576,-1675.87,-7.155156986662196,-2.6943247588424444,0.21967415578523022,-12.26509668017851,627.71,46.67405475880052,0.01108213820078227,0.6492829204693612,0.3396349413298566,1845
NIGHT floored at 25c (live band) [train],891,350,2.545714285714286,33.44556677890011,-1038.48,-7.475581495769637,-2.9670857142857145,0.30360237783435884,-9.77293305622433,369.63,46.05499438832772,0.01122334455667789,0.6576879910213244,0.33108866442199775,1074
NIGHT floored at 25c (live band) [HOLDOUT],745,289,2.577854671280277,34.899328859060404,-750.6,-6.912172140548489,-2.5972318339100346,0.33930244033776835,-7.654621733119708,304.78000000000003,46.920805369127514,0.010738255033557046,0.6348993288590604,0.35436241610738256,771
NIGHT + the 60c floor only [ALL],861,598,1.439799331103679,40.18583042973287,-533.02,-6.784129282125799,-0.8913377926421404,0.13849222944537798,-6.436013025508326,216.5,65.5760743321719,0.011614401858304297,0.59465737514518,0.39372822299651566,1845
NIGHT + the 60c floor only [train],451,327,1.379204892966361,41.24168514412417,-239.87000000000006,-5.829523746763216,-0.7335474006116209,0.18368378707859576,-3.993533736854773,114.17999999999999,65.0909090909091,0.011086474501108648,0.5853658536585366,0.4035476718403548,1074
NIGHT + the 60c floor only [HOLDOUT],412,272,1.5147058823529411,39.32038834951456,-283.7900000000001,-7.597918262966808,-1.0433455882352944,0.20961318006025967,-4.977480843214884,102.81,66.04368932038835,0.012135922330097087,0.6019417475728155,0.3859223300970874,771
NIGHT + the 38c stop only [ALL],3266,649,5.0323574730354395,21.157379056950397,-7626.590000000001,-5.626751804135525,-11.751294298921417,0.8653937161283575,-13.579130608314278,1702.1699999999998,26.85058175137783,0.030312308634415187,0.7400489895897122,0.22963870177587262,1845
NIGHT + the 38c stop only [train],1960,357,5.490196078431373,19.897959183673468,-4813.24,-5.816034051694416,-13.482464985994397,1.2986743978985837,-10.381713082055594,1038.81,25.394897959183673,0.029081632653061223,0.7607142857142857,0.21020408163265306,1074
NIGHT + the 38c stop only [HOLDOUT],1463,302,4.844370860927152,22.419685577580314,-3244.81,-5.464188700979995,-10.744403973509936,1.1370383282239591,-9.449465076777642,748.35,28.372522214627477,0.03144224196855776,0.7190704032809296,0.24948735475051265,771
NIGHT + no stop (hold to settle) [ALL],1067,605,1.7636363636363637,46.76663542642924,-1836.54,-4.593868230138678,-3.035603305785124,0.35091956225542004,-8.650424861682781,420.13,37.41237113402062,0.14245548266166824,0.37300843486410495,0.4845360824742268,1845
NIGHT + no stop (hold to settle) [train],607,330,1.8393939393939394,45.14003294892916,-1115.14,-5.386126800404319,-3.3792121212121216,0.476996503659681,-7.08435406818634,248.72,35.75123558484349,0.15815485996705106,0.3657331136738056,0.47611202635914335,1074
NIGHT + no stop (hold to settle) [HOLDOUT],478,282,1.6950354609929077,48.32635983263599,-782.3299999999999,-3.582703310124983,-2.774219858156029,0.5180363064300099,-5.355261443496614,176.23,39.66108786610879,0.12761506276150628,0.38284518828451886,0.4895397489539749,771
CURRENT (post 3 Aug fixes) [ALL],498,425,1.171764705882353,41.566265060240966,-250.81000000000003,-6.470873849488307,-0.5901411764705883,0.1268964811731416,-4.6505716392985,107.88,66.07831325301204,0.01606425702811245,0.5803212851405622,0.4036144578313253,1845
CURRENT (post 3 Aug fixes) [train],292,248,1.1774193548387097,42.12328767123288,-134.06,-5.959505439385577,-0.5405645161290322,0.16438863753488853,-3.288332601541923,63.620000000000005,65.86643835616438,0.0136986301369863,0.5787671232876712,0.4075342465753425,1074
CURRENT (post 3 Aug fixes) [HOLDOUT],224,190,1.1789473684210525,40.17857142857143,-131.92000000000002,-7.378733766233767,-0.6943157894736841,0.19571195858672552,-3.547641107306241,48.66,66.06696428571429,0.017857142857142856,0.5892857142857143,0.39285714285714285,771
