ticker,event,tournament,entry_ts,exit_ts,entry,exit,contracts,spread,reason,gross,fees,net
KXATPMATCH-26JUN29QUIDAR-QUI,KXATPMATCH-26JUN29QUIDAR,ATP,1782494040,1782748560,61.0,93.0,9,2.000000000000007,target,2.88,0.2,2.6799999999999997
KXATPMATCH-26JUN29HUMBER-HUM,KXATPMATCH-26JUN29HUMBER,ATP,1782579300,1782826920,72.0,33.0,7,2.0,stop,-2.73,0.21000000000000002,-2.94
KXATPMATCH-26JUN29KYPMCD-MCD,KXATPMATCH-26JUN29KYPMCD,ATP,1782594840,1782831780,73.0,34.0,7,2.0,stop,-2.73,0.21000000000000002,-2.94
KXWTAMATCH-26JUN29HADTIM-TIM,KXWTAMATCH-26JUN29HADTIM,WTA,1782669720,1782828480,73.0,94.0,7,1.0,target,1.47,0.13,1.3399999999999999
KXATPCHALLENGERMATCH-26JUN29BOUHAR-HAR,KXATPCHALLENGERMATCH-26JUN29BOUHAR,Challenger,1782748620,1782751380,63.0,94.0,8,2.0,target,2.48,0.18000000000000002,2.3
KXATPMATCH-26JUN29JACGAU-JAC,KXATPMATCH-26JUN29JACGAU,ATP,1782751500,1782828300,70.0,94.0,7,1.0,target,1.68,0.14,1.54
KXATPCHALLENGERMATCH-26JUN30CHAZAH-CHA,KXATPCHALLENGERMATCH-26JUN30CHAZAH,Challenger,1782827940,1782831180,69.0,98.0,7,1.0,target,2.03,0.12,1.9099999999999997
KXATPCHALLENGERMATCH-26JUN30ROCBAS-ROC,KXATPCHALLENGERMATCH-26JUN30ROCBAS,Challenger,1782828360,1782836520,69.0,40.0,7,3.0,stop,-2.03,0.22999999999999998,-2.26
KXATPCHALLENGERMATCH-26JUN30BONMON-MON,KXATPCHALLENGERMATCH-26JUN30BONMON,Challenger,1782828540,1782832320,67.0,98.0,8,2.0,target,2.48,0.15,2.33
KXATPCHALLENGERMATCH-26JUN30LAGCOU-LAG,KXATPCHALLENGERMATCH-26JUN30LAGCOU,Challenger,1782831240,1782833100,67.0,39.0,8,2.0,stop,-2.24,0.27,-2.5100000000000002
KXATPCHALLENGERMATCH-26JUN30ROMCEC-ROM,KXATPCHALLENGERMATCH-26JUN30ROMCEC,Challenger,1782831840,1782833400,69.0,40.0,7,1.0,stop,-2.03,0.22999999999999998,-2.26
KXWTAMATCH-26JUN29RUSMCC-RUS,KXWTAMATCH-26JUN29RUSMCC,WTA,1782833100,1782835920,65.0,38.0,8,1.0,stop,-2.16,0.27,-2.43
KXWTAMATCH-26JUL01SINBAR-SIN,KXWTAMATCH-26JUL01SINBAR,WTA,1782833340,1782918840,65.0,38.0,8,1.0,stop,-2.16,0.27,-2.43
KXATPMATCH-26JUN29HUMBER-HUM,KXATPMATCH-26JUN29HUMBER,ATP,1782833580,1782834600,64.0,25.0,8,2.0,stop,-3.12,0.24,-3.3600000000000003
KXATPCHALLENGERMATCH-26JUN30GOMMON-MON,KXATPCHALLENGERMATCH-26JUN30GOMMON,Challenger,1782834660,1782839880,76.0,98.0,7,1.0,target,1.54,0.09999999999999999,1.44
KXATPCHALLENGERMATCH-26JUN30VASWEH-WEH,KXATPCHALLENGERMATCH-26JUN30VASWEH,Challenger,1782836820,1782837540,75.0,44.0,7,1.0,stop,-2.17,0.23,-2.4
KXATPMATCH-26JUN29MENSAM-SAM,KXATPMATCH-26JUN29MENSAM,ATP,1782836880,1782837480,75.0,44.0,7,1.0,stop,-2.17,0.23,-2.4
KXWTAMATCH-26JUL02PAOGOL-PAO,KXWTAMATCH-26JUL02PAOGOL,WTA,1782838380,1783014240,63.0,37.0,8,2.0,stop,-2.08,0.28,-2.3600000000000003
KXATPCHALLENGERMATCH-26JUN30OSOBER-OSO,KXATPCHALLENGERMATCH-26JUN30OSOBER,Challenger,1782840240,1782841500,72.0,98.0,7,2.0,target,1.82,0.11,1.71
KXATPCHALLENGERMATCH-26JUN30WOLHAR-WOL,KXATPCHALLENGERMATCH-26JUN30WOLHAR,Challenger,1782843060,1782847860,68.0,40.0,8,1.0,stop,-2.24,0.27,-2.5100000000000002
KXATPCHALLENGERMATCH-26JUN30ANDMEL-MEL,KXATPCHALLENGERMATCH-26JUN30ANDMEL,Challenger,1782847860,1782850140,62.0,93.0,8,1.0,target,2.48,0.18000000000000002,2.3
KXWTAMATCH-26JUL02RAKSAK-SAK,KXWTAMATCH-26JUL02RAKSAK,WTA,1782848400,1783011420,66.0,39.0,8,2.0,stop,-2.16,0.27,-2.43
KXATPMATCH-26JUL02FERVIR-VIR,KXATPMATCH-26JUL02FERVIR,ATP,1782851340,1782988260,62.0,36.0,8,3.000000000000007,stop,-2.08,0.27,-2.35
KXATPMATCH-26JUL01MOCQUI-QUI,KXATPMATCH-26JUL01MOCQUI,ATP,1782918900,1782919620,71.0,42.0,7,1.0,stop,-2.03,0.22999999999999998,-2.26
KXATPCHALLENGERMATCH-26JUL01RINERH-RIN,KXATPCHALLENGERMATCH-26JUL01RINERH,Challenger,1782919920,1782923640,69.0,100.0,7,3.0,settlement,2.17,0.11,2.06
KXATPMATCH-26JUL02BERFIL-FIL,KXATPMATCH-26JUL02BERFIL,ATP,1782923700,1783006560,70.0,41.0,7,1.0,stop,-2.03,0.22999999999999998,-2.26
KXATPCHALLENGERMATCH-26JUL02COUVAS-VAS,KXATPCHALLENGERMATCH-26JUL02COUVAS,Challenger,1782988320,1782995520,65.0,38.0,8,3.0,stop,-2.16,0.27,-2.43
KXATPMATCH-26JUL02KHAHAN-KHA,KXATPMATCH-26JUL02KHAHAN,ATP,1782995580,1783010940,63.0,95.0,8,1.0,target,2.56,0.17,2.39
KXATPMATCH-26JUL02MENDIM-MEN,KXATPMATCH-26JUL02MENDIM,ATP,1783006620,1783014600,63.0,37.0,8,1.0,stop,-2.08,0.28,-2.3600000000000003
KXWTAMATCH-26JUL02MERTIM-TIM,KXWTAMATCH-26JUL02MERTIM,WTA,1783011000,1783012380,68.0,40.0,8,1.0,stop,-2.24,0.27,-2.5100000000000002
KXWTAMATCH-26JUL02CIRBIR-CIR,KXWTAMATCH-26JUL02CIRBIR,WTA,1783011480,1783016580,69.0,98.0,7,1.0,target,2.03,0.12,1.9099999999999997
KXWTAMATCH-26JUL03ALEJOV-JOV,KXWTAMATCH-26JUL03ALEJOV,WTA,1783012500,1783088700,67.0,39.0,8,1.0,stop,-2.24,0.27,-2.5100000000000002
KXATPMATCH-26JUL02TIACHO-TIA,KXATPMATCH-26JUL02TIACHO,ATP,1783014360,1783020240,71.0,98.0,7,1.0,target,1.8900000000000001,0.12,1.77
KXATPMATCH-26JUL03HURPAU-PAU,KXATPMATCH-26JUL03HURPAU,ATP,1783014720,1783095180,67.0,39.0,8,1.0,stop,-2.24,0.27,-2.5100000000000002
KXATPMATCH-26JUL02MENDIM-MEN,KXATPMATCH-26JUL02MENDIM,ATP,1783016640,1783019760,70.0,41.0,7,1.0,stop,-2.03,0.22999999999999998,-2.26
KXWTAMATCH-26JUL03BARKRE-KRE,KXWTAMATCH-26JUL03BARKRE,WTA,1783019820,1783099800,66.0,98.0,8,1.0,target,2.56,0.15,2.41
KXATPCHALLENGERMATCH-26JUL03BASCEC-CEC,KXATPCHALLENGERMATCH-26JUL03BASCEC,Challenger,1783030860,1783080480,67.0,98.0,8,3.0,target,2.48,0.15,2.33
KXATPCHALLENGERMATCH-26JUL03KENWAT-WAT,KXATPCHALLENGERMATCH-26JUL03KENWAT,Challenger,1783081020,1783088760,65.0,98.0,8,2.0,target,2.64,0.15,2.49
KXATPCHALLENGERMATCH-26JUL03HARSHI-SHI,KXATPCHALLENGERMATCH-26JUL03HARSHI,Challenger,1783088760,1783127160,66.0,98.0,8,1.0,target,2.56,0.15,2.41
KXWTAMATCH-26JUL04ANIKEY-KEY,KXWTAMATCH-26JUL04ANIKEY,WTA,1783088880,1783180200,61.0,36.0,9,1.0,stop,-2.25,0.3,-2.55
KXWTAMATCH-26JUL05PEGJOV-PEG,KXWTAMATCH-26JUL05PEGJOV,WTA,1783096440,1783256040,69.0,40.0,7,3.0,stop,-2.03,0.22999999999999998,-2.26
