ticker,event,tournament,entry_ts,exit_ts,entry,exit,contracts,spread,reason,gross,fees,net
KXATPMATCH-26JUN29QUIDAR-QUI,KXATPMATCH-26JUN29QUIDAR,ATP,1782494040,1782748560,61.0,93.0,10,2.000000000000007,target,3.2,0.22000000000000003,2.98
KXATPMATCH-26JUN29ZHENOR-ZHE,KXATPMATCH-26JUN29ZHENOR,ATP,1782497520,1782741000,37.0,58.0,16,2.0,target,3.36,0.55,2.8099999999999996
KXATPMATCH-26JUN29DAVCER-DAV,KXATPMATCH-26JUN29DAVCER,ATP,1782499980,1782753540,77.0,94.0,8,3.0,target,1.36,0.14,1.2200000000000002
KXATPMATCH-26JUN29RINTAR-TAR,KXATPMATCH-26JUN29RINTAR,ATP,1782514200,1782753780,39.0,0.0,16,2.0,settlement,-6.24,0.27,-6.51
KXWTAMATCH-26JUN29GASARA-GAS,KXWTAMATCH-26JUN29GASARA,WTA,1782515100,1782758880,45.0,70.0,13,1.0,target,3.25,0.43000000000000005,2.82
KXWTAMATCH-26JUN29MARKEN-MAR,KXWTAMATCH-26JUN29MARKEN,WTA,1782564900,1782819540,58.99999999999999,0.0,10,1.9999999999999858,settlement,-5.8999999999999995,0.17,-6.069999999999999
KXATPMATCH-26JUN29HUMBER-HUM,KXATPMATCH-26JUN29HUMBER,ATP,1782579300,1782837060,72.0,1.0,8,2.0,stop,-5.68,0.13,-5.81
KXWTAMATCH-26JUN29RUSMCC-RUS,KXWTAMATCH-26JUN29RUSMCC,WTA,1782604740,1782838860,56.00000000000001,0.0,11,1.000000000000007,settlement,-6.16,0.19,-6.3500000000000005
KXATPMATCH-26JUN29KYPMCD-MCD,KXATPMATCH-26JUN29KYPMCD,ATP,1782594840,1782835740,73.0,1.0,8,2.0,stop,-5.76,0.13,-5.89
KXATPMATCH-26JUN29SWEDIM-SWE,KXATPMATCH-26JUN29SWEDIM,ATP,1782604560,1782842820,23.0,38.0,27,2.0,target,4.05,0.79,3.26
