config,trades,matches,tr_per_match,win_rate,net_$,net_c_per_trade,net_$_per_match,se_$_per_match,t_match,avg_entry
NIGHT (as it ran 27-28 Jul) [ALL tiers],2724,1516,1.7968337730870712,52.75330396475771,-2072.37,-8.077307600699958,-1.3669986807387862,0.0799161504354918,-17.105412026098847,65.09618208516886
NIGHT (as it ran 27-28 Jul) [ITF only],6135,2599,2.360523278183917,50.75794621026895,-5156.369999999999,-9.127453073612644,-1.9839823008849553,0.07632779812947356,-25.992919349246254,65.39885900570498
NIGHT (as it ran 27-28 Jul) [ATP/Ch/WTA],1817,853,2.130128956623681,53.05448541552009,-1367.79,-7.818258637585474,-1.6035052754982415,0.12065326756799305,-13.290193525795733,64.93120528343424
NIGHT (as it ran 27-28 Jul) [ITF HOLDOUT],2510,1045,2.401913875598086,51.27490039840637,-2056.91,-8.767135268161745,-1.968334928229665,0.12292415265101093,-16.01259708348681,64.97649402390438
NIGHT (as it ran 27-28 Jul) [ALL HOLDOUT],1146,664,1.7259036144578312,51.74520069808028,-916.93,-8.422953810076335,-1.3809186746987951,0.12144473689345286,-11.370757679769332,65.12041884816755
NIGHT floored at 25c (live band) [ALL tiers],2713,1511,1.7954996690933156,52.74603759675636,-2063.3199999999997,-8.106514727951646,-1.365532759761747,0.07962212801855544,-17.150166589914782,65.17618872097309
NIGHT floored at 25c (live band) [ITF only],6143,2603,2.3599692662312717,50.7569591404851,-5167.3099999999995,-9.134403900598652,-1.9851363810987321,0.07626880118827917,-26.028157649917326,65.4341526941234
NIGHT floored at 25c (live band) [ATP/Ch/WTA],1817,852,2.1326291079812205,53.05448541552009,-1366.17,-7.8387837381601075,-1.6034859154929575,0.1203755654690159,-13.320692694113966,64.97963676389654
NIGHT floored at 25c (live band) [ITF HOLDOUT],2518,1049,2.400381315538608,51.270849880857824,-2067.85,-8.785237520988854,-1.971258341277407,0.12267901884329178,-16.068422782183,65.06393963463066
NIGHT floored at 25c (live band) [ALL HOLDOUT],1140,661,1.724659606656581,51.491228070175445,-923.26,-8.547977787828591,-1.3967624810892587,0.12063698310939562,-11.578227879112754,65.19561403508771
NIGHT + the 60c floor only [ALL tiers],2618,1517,1.7257745550428478,53.20855614973262,-1946.06,-8.204071223805078,-1.282834541858932,0.07738069139944616,-16.578225377139933,66.46906035141329
NIGHT + the 60c floor only [ITF only],5989,2621,2.285005723006486,51.7281683085657,-4804.869999999999,-8.890175501851074,-1.833220144982831,0.07215135429867095,-25.407979694936916,66.23676740691268
