n,resid,se,t,p,edge_c,net_c,net_se,net_mid_c,spread,fee_c,cell,bh_pass
2455,-5.498981670062538e-05,0.008701982214296,-0.006319228808613937,0.994958018454065,-0.005498981670062538,-4.281466395112016,0.871060475212559,-1.8128309572301426,4.957637474541752,1.8073319755600814,any|any|form_last3_diff>=-0.67,False
2255,0.0009866962305986589,0.009101704542704167,0.10840785107549822,0.913672173583369,0.09866962305986589,-4.188470066518847,0.9109925858266871,-1.7084257206208426,4.975166297117517,1.8070953436807096,any|any|form_last3_diff>=-0.34,False
1936,0.0033910123966942045,0.009835430213177017,0.34477519774896026,0.7302633804213505,0.33910123966942046,-3.958161157024793,0.9852153611464275,-1.4661673553719008,5.00051652892562,1.8052685950413223,any|any|form_last3_diff>=0.0,False
279,0.00887096774193547,0.026085734697635726,0.34006969114576974,0.7338040459373028,0.887096774193547,-3.225806451612903,2.617100397189748,-0.8799283154121864,4.727598566308243,1.7670250896057347,any|any|form_last3_diff>=0.34,False
43,0.03220930232558139,0.07026317052295226,0.45840946381803044,0.646658293751823,3.220930232558139,-1.1162790697674418,7.046688885928417,1.3837209302325582,5.093023255813954,1.8372093023255813,any|any|form_last3_diff>=0.67,False
46,0.057717391304347804,0.062169067156851554,0.9283940381271566,0.35320320996184495,5.7717391304347805,1.5217391304347827,6.16204206776167,4.076086956521739,5.108695652173913,1.6956521739130435,any|any|form_last3_diff<=-0.67,False
246,0.0011991869918699003,0.02680264543944255,0.0447413668393041,0.9643134607257413,0.11991869918699004,-4.048780487804878,2.6803843330991515,-1.66869918699187,4.82520325203252,1.7886178861788617,any|any|form_last3_diff<=-0.34,False
1870,-0.0029759358288770172,0.009968046704114624,-0.2985475406780153,0.7652852972202775,-0.2975935828877017,-4.62192513368984,0.9970686473186178,-2.1109625668449197,5.036898395721925,1.8133689839572193,any|any|form_last3_diff<=0.0,False
2222,2.0252025202507428e-05,0.009132103803293577,0.002217673565559269,0.9982305539515182,0.002025202520250743,-4.2938793879387935,0.9136660669379376,-1.808055805580558,4.98964896489649,1.81008100810081,any|any|form_last3_diff<=0.34,False
2458,0.0004617575264442493,0.008683664658572498,0.05317542127659238,0.9575921388814579,0.04617575264442493,-4.228234336859235,0.8690480729065868,-1.7585435313262816,4.958096013018714,1.8047192839707078,any|any|form_last3_diff<=0.67,False
