band,n,implied,actual,resid_pp,ci_lo_pp,ci_hi_pp,spread,label
1-10,319,0.06815047021943574,0.05956112852664577,-0.8589341692789971,-2.9692138024953034,2.2995313040843275,3.6802507836990594,ALL books
10-20,637,0.14872056514913656,0.130298273155416,-1.8422291993720559,-4.236377488118107,0.9951631465157734,5.923076923076923,ALL books
20-30,731,0.24679890560875517,0.2558139534883721,0.9015047879616933,-2.128150674365037,4.186471086332288,5.950752393980848,ALL books
30-40,744,0.34982526881720427,0.3629032258064516,1.3077956989247352,-2.0687689661075925,4.825211305584787,5.198924731182796,ALL books
40-50,790,0.448246835443038,0.40759493670886077,-4.065189873417724,-7.439086774171278,-0.6018586847308494,5.158227848101266,ALL books
50-60,888,0.548490990990991,0.5563063063063063,0.7815315315315319,-2.5035124461332825,4.018067723440144,5.650900900900901,ALL books
60-70,755,0.6457549668874173,0.6529801324503312,0.722516556291386,-2.7427554521279762,4.032897615974884,5.548344370860927,ALL books
70-80,703,0.7467709815078236,0.7467994310099573,0.0028449502133653937,-3.3398402832653162,3.0772650747432073,5.701280227596017,ALL books
80-90,630,0.8463333333333333,0.8952380952380953,4.890476190476201,2.2547586034116662,7.047100367872883,5.841269841269841,ALL books
90-99,321,0.9266199376947042,0.9501557632398754,2.3535825545171196,-0.6045133022850702,4.246963559488581,3.3613707165109035,ALL books
1-10,114,0.06416666666666665,0.08771929824561403,2.355263157894738,-1.582208307452193,8.980779496800157,1.4473684210526316,TRADEABLE books only (opening spread <= 2c)
10-20,141,0.14875886524822696,0.1347517730496454,-1.4007092198581566,-6.076643450243875,5.212703730249629,1.482269503546099,TRADEABLE books only (opening spread <= 2c)
20-30,144,0.24854166666666672,0.25,0.14583333333332837,-6.214763766402298,7.805658796398363,1.4999999999999991,TRADEABLE books only (opening spread <= 2c)
30-40,168,0.3528273809523809,0.40476190476190477,5.193452380952385,-1.9357294890328836,12.748452756662315,1.4226190476190477,TRADEABLE books only (opening spread <= 2c)
40-50,208,0.4481490384615385,0.38461538461538464,-6.353365384615383,-12.698908847221723,0.41066201925796797,1.4855769230769231,TRADEABLE books only (opening spread <= 2c)
50-60,167,0.5472155688622755,0.5508982035928144,0.36826347305388696,-7.205837916606505,7.7134621377080155,1.4071856287425129,TRADEABLE books only (opening spread <= 2c)
60-70,176,0.6485795454545454,0.6420454545454546,-0.653409090909085,-7.970007532090328,6.05634219346104,1.5909090909090908,TRADEABLE books only (opening spread <= 2c)
70-80,158,0.7494620253164557,0.759493670886076,1.0031645569620329,-6.226241575395253,7.000661358126415,1.5759493670886076,TRADEABLE books only (opening spread <= 2c)
80-90,129,0.8467054263565891,0.8604651162790697,1.3759689922480667,-5.650407992990281,6.3175129271502595,1.558139534883721,TRADEABLE books only (opening spread <= 2c)
90-99,125,0.9341200000000002,0.944,0.9879999999999778,-4.520913685898975,3.8492123223641705,1.432,TRADEABLE books only (opening spread <= 2c)
1-10,100,0.07455,0.05,-2.455,-5.300663854368644,3.720196527208816,6.69,WIDE books (opening spread > 4c)
10-20,350,0.14787142857142857,0.12,-2.7871428571428574,-5.785598166878017,1.0364319410865852,8.722857142857142,WIDE books (opening spread > 4c)
20-30,397,0.2454785894206549,0.24937027707808565,0.38916876574307535,-3.6129394209245436,4.8716757650972085,8.743073047858942,WIDE books (opening spread > 4c)
30-40,363,0.3482782369146005,0.3608815426997245,1.2603305785123975,-3.51076044096244,6.322793931749132,7.96969696969697,WIDE books (opening spread > 4c)
40-50,388,0.4490979381443299,0.39948453608247425,-4.961340206185566,-9.71347412481493,-0.012116337849205072,7.984536082474227,WIDE books (opening spread > 4c)
50-60,531,0.54954802259887,0.5649717514124294,1.5423728813559356,-2.706161904813087,5.697573311997639,7.898305084745763,WIDE books (opening spread > 4c)
60-70,412,0.6439563106796117,0.662621359223301,1.8665048543689333,-2.8306833202723203,6.2632294805858635,8.097087378640778,WIDE books (opening spread > 4c)
70-80,386,0.745479274611399,0.7668393782383419,2.136010362694296,-2.3326786384628706,6.078798507995953,8.266839378238341,WIDE books (opening spread > 4c)
80-90,331,0.8457099697885195,0.8972809667673716,5.1570996978852035,1.4176987142558883,7.984908715681415,8.700906344410877,WIDE books (opening spread > 4c)
90-99,74,0.9181756756756758,0.972972972972973,5.479729729729721,-1.1470387892219547,7.438112776201455,6.391891891891892,WIDE books (opening spread > 4c)
