date,start,tour,tournament,surface,round,p1,r1,p2,r2,gap,p1_win_rank
2026-08-06,00:20,ITF_WOMEN,"W35 Southaven, MS",hard,R32,A. Shcherbinina,583.0,C. Tanguilig,622.0,39.0,0.5145652818555525
2026-08-06,00:20,ITF_WOMEN,"W35 Southaven, MS",hard,R32,A. Teixido Garcia,366.0,A. Zhu,,,
2026-08-06,00:20,ITF_WOMEN_DOUBLES,"W35 Southaven, MS",hard,R16,Berardi/ Crowder,,Chan/ Hui,,,
2026-08-06,00:25,ATP,Montreal,hard,,T. Droguet,119.0,J. Faria,79.0,-40.0,0.4088532326593913
2026-08-06,00:35,ATP,Montreal,hard,R64,V. Royer,78.0,T. Paul,24.0,-54.0,0.2571586097610199
2026-08-06,00:45,CHALLENGER_DOUBLES,Lexington,hard,R16,Bolt/ Harris,,Goldhoff/ Hilderbrand,,,
2026-08-06,00:55,ITF_WOMEN_DOUBLES,"W100 Landisville, PA",hard,R16,Cho I-/Cho,,Akli/ Brantmeier,,,
2026-08-06,01:00,ITF_MEN_DOUBLES,"M25 Southaven, MS",hard,R16,Chunduru/ Chunduru,,Frusina/ Nolan,,,
2026-08-06,01:00,WTA,Toronto,hard,R64,A. Parks,68.0,A. Eala,28.0,-40.0,0.31033087737703263
2026-08-06,01:05,ATP,Montreal,hard,R64,L. Tien,19.0,G. Monfils,347.0,328.0,0.9317824321470913
2026-08-06,01:15,ITF_MEN_DOUBLES,"M25 Southaven, MS",hard,R16,Exsted/ Woestendick,,Nefve/ Zapp,,,
2026-08-06,01:35,ITF_WOMEN_DOUBLES,"W35 Southaven, MS",hard,R16,Diianni/ Diianni,,Lee/ Sema,,,
2026-08-06,01:55,ITF_MEN_DOUBLES,"M25 Southaven, MS",hard,R16,Honda/ Sakagawa,,Anthrop/ Bennani,,,
2026-08-06,01:55,ITF_WOMEN_DOUBLES,"W100 Landisville, PA",hard,R16,Crawley/ Daniel,,Kozyreva/ Okalova,,,
2026-08-06,02:00,ITF_MEN_DOUBLES,"M25 Southaven, MS",hard,R16,Peck/ Vega,,Barrett/ Corwin,,,
2026-08-06,02:00,ITF_WOMEN,W15 Tianjin,hard,R16,C. Zhu,684.0,J. Dong,,,
2026-08-06,02:00,ITF_WOMEN,W15 Tianjin,hard,R16,S. Noguchi,657.0,J. Zhang,634.0,-23.0,0.4919827977752601
2026-08-06,02:00,ITF_WOMEN,W15 Tianjin,hard,R16,Y. J. Lin,,Y. Qu,,,
2026-08-06,02:00,ITF_WOMEN,W15 Tianjin,hard,R16,S. Y. Cheuk,629.0,Y. Shao,796.0,167.0,0.5527828893003454
2026-08-06,02:00,ITF_MEN,M15 Tianjin,hard,R16,Han Seon Yong,,D. Sarksian,936.0,,
2026-08-06,02:00,ITF_MEN,M15 Tianjin,hard,R16,D. Hwang,,K. Lee,613.0,,
2026-08-06,02:00,ITF_MEN,M15 Tianjin,hard,R16,T. Karigyo,,T. Huang,623.0,,
2026-08-06,02:00,ITF_MEN,M15 Tianjin,hard,R16,Y. Mochizuki,732.0,R. Gao,,,
2026-08-06,02:25,ITF_WOMEN_DOUBLES,"W35 Southaven, MS",hard,R16,Navarro/ Rodriguez,,Lutkemeyer/ Tian,,,
2026-08-06,03:30,ITF_WOMEN,W15 Tianjin,hard,R16,R. Zhang,707.0,Y. Wang,700.0,-7.0,0.49776119052023415
2026-08-06,03:30,ITF_WOMEN,W15 Tianjin,hard,R16,C. Yuan,499.0,L. X. Leong S.,974.0,475.0,0.6460965207556487
2026-08-06,03:30,ITF_WOMEN,W15 Tianjin,hard,R16,X. Luo,776.0,J. Wang,541.0,-235.0,0.41954051200773296
2026-08-06,03:30,ITF_WOMEN,W15 Tianjin,hard,R16,G. Jang,665.0,M. Guo,552.0,-113.0,0.4581940579993541
2026-08-06,03:30,ITF_MEN,M15 Tianjin,hard,R16,Sun Qian,930.0,H. Lu,,,
2026-08-06,03:30,ITF_MEN,M15 Tianjin,hard,R16,S. Ann,,D. J. Kim,704.0,,
2026-08-06,03:30,ITF_MEN,M15 Tianjin,hard,R16,M. Dellavedova,307.0,Y. Chung,,,
2026-08-06,03:30,ITF_MEN,M15 Tianjin,hard,R16,G. J. Kim,,I. Becroft,872.0,,
2026-08-06,05:00,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,Y. Tanaka,,S. Mitsui,652.0,,
2026-08-06,05:00,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,E. Philippov,,I. Maratuly,,,
2026-08-06,05:00,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,K. Singh,552.0,S. Imai,851.0,299.0,0.5961810287934391
2026-08-06,05:00,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,E. Tupitsyna,651.0,A. Arystanbekova,932.0,281.0,0.5800407934319767
2026-08-06,05:00,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,Y. Panwar,,I. Kurt,682.0,,
2026-08-06,05:00,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,V. Milovanova,449.0,A. Malova,,,
2026-08-06,05:00,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,N. Sozaonova,,H. Im,,,
2026-08-06,05:00,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,I. Gretskiy,,Y. Yerdilda,,,
2026-08-06,05:00,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,M. Borisiouk,939.0,E. Agafonov,686.0,-253.0,0.42983017497524506
2026-08-06,05:00,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,T. Yamanaka,857.0,S. Petrov,,,
2026-08-06,06:00,ITF_MEN_DOUBLES,M15 Tianjin,hard,QF,Hongyu/ Lee,,Yang/ Zhao,,,
2026-08-06,06:00,ITF_WOMEN_DOUBLES,W15 Tianjin,hard,QF,Li/ Sun,,Moon/ Nishimoto,,,
2026-08-06,06:00,ITF_WOMEN_DOUBLES,W15 Tianjin,hard,QF,Kim/ Shin,,Kang/ Kim,,,
2026-08-06,06:30,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,P. Sornlaksup,748.0,Z. Nurlanuly,,,
2026-08-06,06:30,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,A. Kachmazov,822.0,S. Fukuda,779.0,-43.0,0.48791325158825455
2026-08-06,06:30,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,R. P. Senthil Kumar,,M. Sasikumar,578.0,,
2026-08-06,06:30,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,A. D. Nitture,951.0,E. Mamedova,842.0,-109.0,0.4726372045127861
2026-08-06,06:30,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,Y. Hosoki,,Z. Desai,549.0,,
2026-08-06,06:30,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,A. Klichnikov,,A. Paparkar,,,
2026-08-06,06:30,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,A. Sedysheva,968.0,M. Qureshi,,,
2026-08-06,06:30,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,Kim Eunchae,,S. J. Jang,666.0,,
2026-08-06,06:30,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,S. Atay,994.0,A. Pushkareva,,,
2026-08-06,06:30,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,D. Zelinskaya,606.0,A. Arifullina,805.0,199.0,0.5635460210064619
2026-08-06,07:00,ITF_WOMEN,W15 Hameenlinna,clay,R32,L. Hietaranta,379.0,K. Blazkova,,,
2026-08-06,07:00,ITF_WOMEN,W15 Kursumlijska Banja 12,clay,R16,V. Paganetti,492.0,G. Krastenova,,,
2026-08-06,07:00,ITF_WOMEN,W15 Kursumlijska Banja 12,clay,R16,P. Drame,,M. Herazo Gonzalez,798.0,,
2026-08-06,07:00,ITF_MEN,M25 Kursumlijska Banja 2,clay,R16,. V. Krstic,,V. Radjenovic,,,
2026-08-06,07:00,ITF_MEN,M25 Kursumlijska Banja 2,clay,R16,M. Maksimovic,996.0,A. Pisaric,,,
2026-08-06,07:00,ITF_MEN,M25 Kursumlijska Banja 2,clay,R16,A. Zgirovsky,,D. Obradovic,472.0,,
2026-08-06,07:00,ITF_MEN,M25 Kursumlijska Banja 2,clay,R16,W. Ahouda,,J. Plans,832.0,,
2026-08-06,07:00,ITF_MEN,M15 Curtea De Arges 2 (Romania),clay,R16,R. Guna,914.0,F. Ferrari,,,
2026-08-06,07:00,ITF_MEN,M15 Curtea De Arges 2 (Romania),clay,R16,A. C. Gadoiu,,R. T. Pieleanu,,,
2026-08-06,07:00,ITF_MEN,M15 Curtea De Arges 2 (Romania),clay,R16,S. A. Andreescu,649.0,M. Sciahbasi,,,
2026-08-06,07:00,ITF_WOMEN,W15 Kursumlijska Banja 12,clay,R16,E. Agureeva,,A. Bulatova,588.0,,
2026-08-06,07:00,ITF_WOMEN,W15 Hameenlinna,clay,R16,V. Van De Peer,710.0,R. Gailis,900.0,190.0,0.5531526124676945
2026-08-06,07:00,ITF_WOMEN,W15 Hameenlinna,clay,R16,E. V. Eigelsbach,,D. Vaissaud,580.0,,
2026-08-06,07:30,ITF_MEN_DOUBLES,M15 Tianjin,hard,QF,Lai/ Sarksian,,Becroft/ Shearer,,,
2026-08-06,07:30,ITF_MEN_DOUBLES,M15 Tianjin,hard,QF,Kikuchi/ Taguchi,,Chung/ Han Seon Yong,,,
2026-08-06,07:30,ITF_MEN_DOUBLES,M15 Tianjin,hard,QF,Huang/ Wang,,Ann/ Lee,,,
2026-08-06,07:30,ITF_WOMEN_DOUBLES,W15 Tianjin,hard,QF,Chen/ Wang,,Gao/ Lan,,,
2026-08-06,07:30,ITF_WOMEN_DOUBLES,W15 Tianjin,hard,QF,Desvignes/ Cheuk,,Lin/ Zhang,,,
2026-08-06,07:30,ITF_MEN,M15 Poprad,clay,R16,M. Ujvary,,S. Hamza Reguig,683.0,,
2026-08-06,07:30,ITF_MEN,M15 Poprad,clay,R16,S. Sec,,M. Novansky,,,
2026-08-06,07:30,ITF_MEN,M15 Poprad,clay,R16,L. Rivera,,D. Bakonyi,,,
2026-08-06,07:30,ITF_MEN,M15 Poprad,clay,R16,A. Gil Garcia,,J. Hallquist Lithen,758.0,,
2026-08-06,08:00,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,S. Toregen,,K. Bataikina,,,
2026-08-06,08:00,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,D. Brand,,O. Shimanov,922.0,,
2026-08-06,08:00,ITF_WOMEN,W75 Koksijde (Belgium),clay,R16,T. Di Girolami,654.0,B. Szabo,572.0,-82.0,0.4698935827996058
2026-08-06,08:00,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,H. Arakawa,725.0,A. Bazderova,,,
2026-08-06,08:00,ITF_WOMEN,W75 Ourense (Spain),hard,R16,I. Shinikova,442.0,M. Hodzic,305.0,-137.0,0.4172924113697571
2026-08-06,08:00,ITF_WOMEN,W75 Ourense (Spain),hard,R16,C. Zanolini,498.0,A. Dudeney,230.0,-268.0,0.33286205331850405
2026-08-06,08:00,ITF_WOMEN,W15 Astana 4 (Kazakhstan),hard,R32,S. Kenzhibayeva,,L. Rothensteiner,,,
2026-08-06,08:00,ITF_WOMEN,W75 Ourense (Spain),hard,R16,B. Du Pree,340.0,X. Gao,249.0,-91.0,0.430369576967125
2026-08-06,08:00,ITF_WOMEN_DOUBLES,W15 Astana 4 (Kazakhstan),hard,QF,Hosoki/ Yoshioka,,Kharlanova/ Mamedova,,,
2026-08-06,08:00,ITF_WOMEN_DOUBLES,W15 Astana 4 (Kazakhstan),hard,QF,Fedorova/ Sedysheva,,Milovanova/ Zelinskaya,,,
2026-08-06,08:00,ITF_WOMEN_DOUBLES,W15 Astana 4 (Kazakhstan),hard,QF,Lee/ Pushkareva,,Arystanbekova/ Dyussebay,,,
2026-08-06,08:00,ITF_MEN,M15 Astana 2 (Kazakhstan),hard,R32,M. Kesharwani,,A. Omarkhanov,627.0,,
2026-08-06,08:00,ITF_MEN,M25 Kursumlijska Banja 2,clay,R16,R. Bennani,463.0,R. Tiukaev,,,
2026-08-06,08:00,ITF_MEN,M25 Kursumlijska Banja 2,clay,R16,C. Warik,,L. Comino,,,
2026-08-06,08:00,ITF_MEN,M25 Kursumlijska Banja 2,clay,R16,V. Jankanj,,A. Yazdani,903.0,,
2026-08-06,08:00,ITF_MEN,M25 Kursumlijska Banja 2,clay,R16,L. Ceramilac,,B. Artnak,460.0,,
2026-08-06,08:00,ITF_MEN,M15 Bielsko Biala,clay,R16,V. Orlov,431.0,N. Guttau,,,
2026-08-06,08:00,ITF_MEN,M15 Bielsko Biala,clay,R16,W. Marek,,P. Juszczak,,,
2026-08-06,08:00,ITF_MEN,M15 Bielsko Biala,clay,R16,N. Larwig,,A. Beckley,553.0,,
2026-08-06,08:00,ITF_MEN,M15 Bielsko Biala,clay,R16,J. Gschwendtner,1008.0,G. Hausberger,,,
2026-08-06,08:30,ITF_WOMEN,W15 Kursumlijska Banja 12,clay,R16,C. Van Zonneveld,,B. Barbulescu,587.0,,
2026-08-06,08:30,ITF_WOMEN,W15 Kursumlijska Banja 12,clay,R16,V. Panshina,360.0,F. Dorofeeva-Rybas,865.0,505.0,0.6876086077347965
2026-08-06,08:30,ITF_WOMEN,W15 Kursumlijska Banja 12,clay,R16,R. Munk Mortensen,625.0,A. El Aouni,665.0,40.0,0.5139543382782719
2026-08-06,08:30,ITF_MEN,M15 Curtea De Arges 2 (Romania),clay,R16,N. Robert,849.0,C. Rojas,,,
2026-08-06,08:30,ITF_MEN,M15 Curtea De Arges 2 (Romania),clay,R16,I. B. Petre S.,,F. Tenti,901.0,,
2026-08-06,08:30,ITF_MEN,M15 Curtea De Arges 2 (Romania),clay,R16,M. R. Marinescu,,G. Misasi,919.0,,
2026-08-06,08:30,ITF_WOMEN,W15 Hameenlinna,clay,R16,V. Pohle,894.0,V. Ahti,,,
2026-08-06,08:30,ITF_WOMEN,W15 Hameenlinna,clay,R16,A. Chlpac,997.0,M. Hageman,810.0,-187.0,0.4533994214085653
2026-08-06,08:30,ITF_WOMEN,W15 Hameenlinna,clay,R16,D. Vismane,,D. Lopatetska,,,
2026-08-06,09:00,CHALLENGER_WOMEN,Warsaw,hard,QF,J. Mikulskyte,241.0,G. Knutson,219.0,-22.0,0.4784751411627673
2026-08-06,09:00,ITF_MEN,M25 Roehampton,grass,R16,C. Broom,287.0,N. Jadoun,815.0,528.0,0.7189653731244656
2026-08-06,09:00,ITF_WOMEN,W35 Roehampton,hard,R16,A. Tubello,204.0,E. Appleton,519.0,315.0,0.6985506121976957
2026-08-06,09:00,ITF_WOMEN,W35 Roehampton,hard,R16,N. Sato,488.0,H. Abe,323.0,-165.0,0.40820355480181747
2026-08-06,09:00,ITF_WOMEN,W75 Koksijde (Belgium),clay,R16,L. Ebeling Koning,601.0,E. Bennemann,292.0,-309.0,0.3430668314635949
2026-08-06,09:00,ITF_WOMEN,W75 Leipzig (Germany),clay,R16,A. Lazaro Garcia,151.0,A. Zantedeschi,289.0,138.0,0.6420406452180275
2026-08-06,09:00,ITF_WOMEN,W75 Leipzig (Germany),clay,R16,E. Malygina,317.0,L. Vladson,795.0,478.0,0.6958252769336806
2026-08-06,09:00,ITF_WOMEN,W75 Ourense (Spain),hard,R16,F. Jorge,233.0,K. Pavlova,354.0,121.0,0.5930124053956455
2026-08-06,09:00,ITF_WOMEN,W75 Ourense (Spain),hard,R16,Y. Kabbaj,266.0,S. Zhiyenbayeva,738.0,472.0,0.7147165461531868
2026-08-06,09:00,ITF_WOMEN,W35 Roehampton,hard,R16,B. Black,827.0,M. Ekstrand,924.0,97.0,0.524933461418603
