=== ITF men + women: 24296 settled tickers, 1215 cells

ULTIMATE WIN -- out-of-sample, non-sparse, sorted by lift
 peak      dip     n    rate    base    lift         p  BH
   70   draw10  3062   71.1%   61.5%   +9.6   0.00000  YES
   75   draw10  2743   74.2%   66.7%   +7.4   0.00000  YES
   90   dest30   268   26.5%   20.2%   +6.3   0.01022  YES
   85   dest30   470   26.0%   20.4%   +5.6   0.00270  YES
   80   dest30   667   25.6%   20.2%   +5.5   0.00046  YES
   70   draw20  2241   60.7%   55.7%   +5.0   0.00000  YES
   80   draw10  2379   77.2%   72.7%   +4.5   0.00000  YES
   75   dest30   877   25.1%   20.6%   +4.5   0.00093  YES
   70   dest30  1110   25.1%   20.8%   +4.4   0.00031  YES
   90   dest40   318   34.6%   31.4%   +3.2   0.22257  -
   85   dest40   559   34.9%   31.7%   +3.1   0.10905  -
   70   draw50  1196   29.0%   26.0%   +3.0   0.01696  YES

RETURNS TO THE PEAK LEVEL -- out-of-sample, non-sparse, sorted by lift
 peak      dip     n    rate    base    lift         p  BH
   70   draw10  3062   92.2%   82.3%   +9.9   0.00000  YES
   70   draw20  2241   81.4%   72.5%   +8.9   0.00000  YES
   75   draw10  2743   91.0%   83.4%   +7.5   0.00000  YES
   70   dest30  1110   32.4%   25.2%   +7.2   0.00000  YES
   70   draw50  1196   38.7%   31.6%   +7.1   0.00000  YES
   70   dest60  2038   78.0%   71.6%   +6.4   0.00000  YES
   70   dest50  1618   62.0%   55.8%   +6.2   0.00000  YES
   70   dest40  1309   46.8%   40.6%   +6.2   0.00001  YES
   70   draw40  1424   53.2%   47.4%   +5.8   0.00001  YES
   80   dest30   667   25.8%   20.8%   +5.0   0.00164  YES
   80   draw10  2379   89.7%   84.8%   +4.9   0.00000  YES
   75   draw20  1924   78.7%   73.9%   +4.8   0.00000  YES

MONEY -- out-of-sample, buy at the ASK on the dip, sell at the BID
 peak      dip  exit     n      ROI    hit     avg$
   70   dest30    60  1110   -20.2%  37.4%   -0.059
   70   dest30    70  1110   -17.2%  33.2%   -0.051
   70   dest30    80  1110   -18.5%  28.5%   -0.054
   70   dest40    60  1309   -16.8%  53.1%   -0.067
   70   dest40    70  1309   -13.0%  47.4%   -0.052
   70   dest40    80  1309   -15.1%  40.5%   -0.060
   70   dest50    60  1618   -12.3%  69.8%   -0.061
   70   dest50    70  1618    -9.7%  62.2%   -0.048
   70   dest50    80  1618   -10.9%  53.6%   -0.054
   70   dest60    60  2038   -10.9%  35.8%   -0.066
   70   dest60    70  2038    -8.2%  73.8%   -0.050
   70   dest60    80  2038    -8.7%  67.7%   -0.052
   70   draw10    60  3062   -10.4%  11.5%   -0.077
   70   draw10    70  3062    -8.8%  32.2%   -0.065
   70   draw10    80  3062    -7.4%  54.6%   -0.055
   70   draw20    60  2241   -10.0%  33.9%   -0.064
   70   draw20    70  2241    -8.4%  54.7%   -0.054
   70   draw20    80  2241    -8.1%  67.9%   -0.052
   70   draw30    60  1759   -12.8%  50.8%   -0.069
   70   draw30    70  1759   -11.1%  64.0%   -0.060
   70   draw30    80  1759   -11.3%  58.2%   -0.061
   70   draw40    60  1424   -14.5%  59.3%   -0.064
   70   draw40    70  1424   -11.9%  53.4%   -0.053
   70   draw40    80  1424   -12.7%  46.3%   -0.056
   70   draw50    60  1196   -17.2%  44.2%   -0.058
   70   draw50    70  1196   -13.3%  39.5%   -0.044
   70   draw50    80  1196   -15.9%  33.6%   -0.053
   75   dest30    60   877   -19.6%  36.9%   -0.057
   75   dest30    70   877   -17.1%  32.8%   -0.050
   75   dest30    80   877   -19.5%  27.8%   -0.057
   75   dest40    60  1038   -16.9%  52.4%   -0.067
   75   dest40    70  1038   -13.4%  46.9%   -0.053
   75   dest40    80  1038   -16.1%  39.7%   -0.063
   75   dest50    60  1274   -12.7%  69.0%   -0.063
   75   dest50    70  1274   -10.4%  61.3%   -0.051
   75   dest50    80  1274   -11.6%  52.8%   -0.057
   75   dest60    60  1629   -10.9%  38.0%   -0.066
   75   dest60    70  1629    -8.5%  74.2%   -0.051
   75   dest60    80  1629    -8.5%  67.0%   -0.051
   75   draw10    60  2743    -9.9%   8.9%   -0.077
   75   draw10    70  2743    -8.7%  21.5%   -0.067
   75   draw10    80  2743    -7.2%  51.7%   -0.056
   75   draw20    60  1924   -10.0%  24.3%   -0.066
   75   draw20    70  1924    -8.4%  52.1%   -0.056
   75   draw20    80  1924    -7.7%  70.5%   -0.051
   75   draw30    60  1479   -12.2%  49.2%   -0.069
   75   draw30    70  1479   -11.3%  66.5%   -0.064
   75   draw30    80  1479   -11.5%  60.9%   -0.065
   75   draw40    60  1188   -13.8%  62.6%   -0.064
   75   draw40    70  1188   -11.5%  56.7%   -0.053
   75   draw40    80  1188   -12.6%  48.9%   -0.059
   75   draw50    60   987   -16.6%  47.6%   -0.060
   75   draw50    70   987   -13.2%  42.6%   -0.047
   75   draw50    80   987   -16.3%  36.0%   -0.058
   80   dest30    60   667   -16.1%  38.1%   -0.046
   80   dest30    70   667   -14.0%  33.7%   -0.040
   80   dest30    80   667   -16.7%  28.5%   -0.048
   80   dest40    60   789   -14.5%  53.4%   -0.057
   80   dest40    70   789   -11.0%  47.8%   -0.043
   80   dest40    80   789   -15.4%  39.7%   -0.060
   80   dest50    60   974   -11.1%  69.8%   -0.055
   80   dest50    70   974    -9.4%  61.6%   -0.046
   80   dest50    80   974   -11.0%  52.9%   -0.054
   80   dest60    60  1233   -10.5%  40.1%   -0.063
   80   dest60    70  1233    -8.7%  74.9%   -0.052
   80   dest60    80  1233    -9.4%  65.9%   -0.056
   80   draw10    60  2379    -9.3%   8.0%   -0.074
   80   draw10    70  2379    -8.6%  12.5%   -0.069
   80   draw10    80  2379    -7.3%  44.3%   -0.058
   80   draw20    60  1588    -9.4%  15.5%   -0.065
   80   draw20    70  1588    -8.3%  46.2%   -0.057
   80   draw20    80  1588    -7.7%  72.5%   -0.053
   80   draw30    60  1205   -10.4%  46.1%   -0.061
   80   draw30    70  1205   -10.0%  69.7%   -0.059
   80   draw30    80  1205   -10.5%  64.3%   -0.062
   80   draw40    60   959   -11.4%  67.3%   -0.056
   80   draw40    70   959    -9.4%  61.0%   -0.046
   80   draw40    80   959   -11.0%  52.3%   -0.054
   80   draw50    60   786   -13.0%  52.7%   -0.050
   80   draw50    70   786    -9.4%  47.2%   -0.036
