=== ATP + WTA main tour: 3576 settled tickers, 1215 cells

ULTIMATE WIN -- out-of-sample, non-sparse, sorted by lift
 peak      dip     n    rate    base    lift         p  BH
   75   draw10   471   70.5%   62.8%   +7.6   0.00059  YES
   70   draw10   550   66.0%   60.5%   +5.5   0.00772  -
   80   draw10   406   73.7%   69.7%   +4.0   0.08331  -
   85   draw10   324   77.2%   74.0%   +3.2   0.19471  -
   85   dest30    91   25.3%   23.8%   +1.4   0.74691  -
   80   dest30   136   25.0%   23.9%   +1.1   0.76208  -
   90   dest30    56   23.2%   23.1%   +0.1   0.98681  -
   75   dest40   209   34.4%   34.7%   -0.3   0.93715  -
   75   draw20   338   58.9%   59.2%   -0.3   0.91040  -
   70   draw20   420   55.5%   56.2%   -0.8   0.75608  -
   75   dest30   174   23.0%   23.9%   -0.9   0.78265  -
   80   dest40   158   33.5%   34.6%   -1.1   0.78118  -

RETURNS TO THE PEAK LEVEL -- out-of-sample, non-sparse, sorted by lift
 peak      dip     n    rate    base    lift         p  BH
   75   draw10   471   88.1%   81.8%   +6.3   0.00037  YES
   70   draw10   550   88.4%   83.5%   +4.9   0.00217  YES
   75   dest50   246   55.3%   53.7%   +1.6   0.61599  -
   70   draw20   420   76.9%   75.8%   +1.1   0.60860  -
   75   draw20   338   76.6%   75.6%   +1.0   0.66784  -
   80   draw10   406   85.7%   84.7%   +1.0   0.58700  -
   85   draw10   324   85.2%   84.5%   +0.7   0.74230  -
   70   dest50   325   57.5%   58.2%   -0.7   0.80821  -
   75   draw30   279   64.9%   65.9%   -1.0   0.72967  -
   75   dest60   293   68.3%   69.4%   -1.1   0.66905  -
   85   draw20   200   73.0%   74.5%   -1.5   0.63720  -
   75   dest30   174   25.9%   27.8%   -1.9   0.56829  -

MONEY -- out-of-sample, buy at the ASK on the dip, sell at the BID
 peak      dip  exit     n      ROI    hit     avg$
   70   dest30    60   237   -23.1%  34.6%   -0.064
   70   dest30    70   237   -29.8%  27.0%   -0.083
   70   dest30    80   237   -24.6%  24.9%   -0.069
   70   dest40    60   279   -16.2%  52.3%   -0.063
   70   dest40    70   279   -23.1%  41.2%   -0.090
   70   dest40    80   279   -19.1%  37.6%   -0.074
   70   dest50    60   325   -13.2%  68.9%   -0.065
   70   dest50    70   325   -16.8%  57.2%   -0.083
   70   dest50    80   325   -16.2%  50.5%   -0.080
   70   dest60    60   392   -12.5%  40.1%   -0.074
   70   dest60    70   392   -14.9%  70.4%   -0.089
   70   dest60    80   392   -15.3%  62.0%   -0.092
   70   draw10    60   550    -7.9%  16.9%   -0.056
   70   draw10    70   550    -9.7%  41.1%   -0.070
   70   draw10    80   550   -11.0%  62.4%   -0.079
   70   draw20    60   420   -10.1%  39.5%   -0.063
   70   draw20    70   420   -11.1%  58.1%   -0.069
   70   draw20    80   420   -12.9%  63.8%   -0.080
   70   draw30    60   346   -11.2%  54.0%   -0.059
   70   draw30    70   346   -13.4%  62.1%   -0.071
   70   draw30    80   346   -15.2%  54.3%   -0.080
   70   draw40    60   293   -16.6%  57.0%   -0.070
   70   draw40    70   293   -19.7%  46.8%   -0.083
   70   draw40    80   293   -16.8%  42.3%   -0.071
   70   draw50    60   249   -18.3%  41.8%   -0.058
   70   draw50    70   249   -24.8%  32.9%   -0.079
   70   draw50    80   249   -22.8%  29.3%   -0.073
   75   dest30    60   174   -20.5%  35.1%   -0.056
   75   dest30    70   174   -29.9%  26.4%   -0.082
   75   dest30    80   174   -23.8%  24.7%   -0.065
   75   dest40    60   209   -11.7%  54.1%   -0.045
   75   dest40    70   209   -20.0%  42.1%   -0.077
   75   dest40    80   209   -15.6%  38.8%   -0.060
   75   dest50    60   246    -8.5%  71.5%   -0.042
   75   dest50    70   246   -12.8%  59.3%   -0.063
   75   dest50    80   246   -12.2%  52.4%   -0.061
   75   dest60    60   293   -10.8%  43.0%   -0.064
   75   dest60    70   293   -11.3%  73.4%   -0.067
   75   dest60    80   293   -12.1%  63.5%   -0.072
   75   draw10    60   471    -7.2%  13.8%   -0.054
   75   draw10    70   471    -7.6%  30.6%   -0.057
   75   draw10    80   471    -8.9%  61.4%   -0.067
   75   draw20    60   338    -7.9%  29.6%   -0.052
   75   draw20    70   338    -8.5%  57.4%   -0.056
   75   draw20    80   338   -10.8%  67.5%   -0.071
   75   draw30    60   279    -7.6%  54.8%   -0.043
   75   draw30    70   279    -9.1%  68.5%   -0.051
   75   draw30    80   279   -10.9%  60.2%   -0.061
   75   draw40    60   226   -14.5%  62.4%   -0.066
   75   draw40    70   226   -18.2%  50.9%   -0.082
   75   draw40    80   226   -15.6%  46.0%   -0.071
   75   draw50    60   190   -17.7%  46.3%   -0.062
   75   draw50    70   190   -25.7%  35.8%   -0.090
   75   draw50    80   190   -23.2%  32.1%   -0.081
   80   dest30    60   136   -15.6%  36.8%   -0.043
   80   dest30    70   136   -27.2%  27.2%   -0.074
   80   dest30    80   136   -16.5%  26.5%   -0.045
   80   dest40    60   158   -11.9%  53.2%   -0.045
   80   dest40    70   158   -21.7%  40.5%   -0.082
   80   dest40    80   158   -17.2%  37.3%   -0.065
   80   dest50    60   183   -11.0%  70.5%   -0.054
   80   dest50    70   183   -15.9%  56.8%   -0.079
   80   dest50    80   183   -14.3%  50.8%   -0.071
   80   dest60    60   222   -12.5%  39.2%   -0.074
   80   dest60    70   222   -12.3%  72.1%   -0.073
   80   dest60    80   222   -13.0%  62.6%   -0.077
   80   draw10    60   406    -7.3%  13.8%   -0.057
   80   draw10    70   406    -7.1%  20.4%   -0.056
   80   draw10    80   406    -9.2%  55.9%   -0.072
   80   draw20    60   275    -8.6%  19.3%   -0.059
   80   draw20    70   275    -9.6%  51.6%   -0.065
   80   draw20    80   275   -11.5%  68.7%   -0.079
   80   draw30    60   219   -10.2%  47.9%   -0.060
   80   draw30    70   219   -10.9%  69.9%   -0.064
   80   draw30    80   219   -12.5%  62.1%   -0.073
   80   draw40    60   179   -15.7%  64.8%   -0.075
