series,category,frequency,fee_type,n_open_markets,n_settled_downloaded,median_spread_cents,median_price,quoted_fraction,median_volume,markets_per_event,strike_types,breakeven_edge_cents,d1_ground_truth,d2_cost_bar,d3_liquidity,d4_structural,d5_recurrence,d6_counterparty,d7_settlement,d8_data_cost,total_score,killed,kill_reasons
KXBTCD,Crypto,hourly,quadratic,130,60000,3.0,0.975,0.562,614.4,65.0,greater,3.36,3,4,3,4,5,,5,5,29,False,
KXHIGHDEN,Unknown,,quadratic,6,396,1.0,0.125,1.0,367.0,6.0,"between,greater,less",2.54,5,4,3,4,3,,5,5,29,False,
KXHIGHCHI,Unknown,,quadratic,6,396,3.0,0.0925,1.0,1406.5,6.0,"between,greater,less",4.18,5,3,3,4,3,,5,5,28,False,
KXHIGHLAX,Unknown,,quadratic,12,396,3.0,0.13,0.583,24815.7,6.0,"between,greater,less",4.6,5,3,3,4,3,,5,5,28,False,
KXHIGHMIA,Unknown,,quadratic,6,396,1.5,0.26,0.667,3567.2,6.0,"between,greater,less",4.2,5,3,2,4,3,,5,5,27,False,
KXHIGHNY,Unknown,,quadratic,6,396,2.0,0.19,0.833,4185.2,6.0,"between,greater,less",4.16,5,3,2,4,3,,5,5,27,False,
KXHIGHPHIL,Unknown,,quadratic,6,396,5.5,0.085,1.0,637.2,6.0,"between,greater,less",6.6,5,2,3,4,3,,5,5,27,False,
KXHIGHTBOS,Unknown,,quadratic,6,0,1.0,0.075,1.0,595.9,6.0,"between,greater,less",1.98,5,5,3,4,0,,5,5,27,False,
KXHIGHTOKC,Unknown,,quadratic,6,0,1.0,0.0725,1.0,216.8,6.0,"between,greater,less",1.96,5,5,3,4,0,,5,5,27,False,
KXINXY,Financials,annual,quadratic_with_maker_fees,27,0,1.0,0.035,0.778,154898.0,27.0,"between,greater,less",1.48,3,5,4,5,0,,5,5,27,False,
KXNASDAQ100Y,Financials,annual,quadratic_with_maker_fees,30,0,1.0,0.03,0.867,69038.9,30.0,"between,greater,less",1.42,3,5,4,5,0,,5,5,27,False,
KXHIGHAUS,Unknown,,quadratic,6,396,5.0,0.055,0.833,409.5,6.0,"between,greater,less",5.74,5,2,2,4,3,,5,5,26,False,
KXHIGHTDC,Unknown,,quadratic,6,0,2.0,0.0875,1.0,403.2,6.0,"between,greater,less",3.12,5,4,3,4,0,,5,5,26,False,
KXBTCMAXY,Crypto,annual,quadratic,7,0,1.0,0.055,1.0,516203.1,7.0,greater,1.74,3,5,4,3,0,,5,5,25,False,
KXGDPYEAR,Economics,custom,quadratic,154,0,1.0,0.065,0.831,2909.2,14.0,"between,greater,less",1.86,4,5,3,5,0,,3,5,25,False,
KXHIGHTATL,Unknown,,quadratic,6,0,2.5,0.09,1.0,1832.9,6.0,"between,greater,less",3.66,5,3,3,4,0,,5,5,25,False,
KXHIGHTSATX,Unknown,,quadratic,6,0,2.5,0.115,1.0,218.5,6.0,"between,greater,less",3.94,5,3,3,4,0,,5,5,25,False,
KXHIGHTSEA,Unknown,,quadratic,12,0,1.0,0.215,0.583,1454.8,6.0,"between,greater,less",3.38,5,4,2,4,0,,5,5,25,False,
KXBTCMAX100,Crypto,annual,quadratic,5,0,1.0,0.065,1.0,6192.7,5.0,greater,1.86,3,5,3,3,0,,5,5,24,False,
KXETHMAXY,Crypto,annual,quadratic,8,0,1.0,0.085,1.0,244686.0,8.0,greater,2.1,3,4,4,3,0,,5,5,24,False,
KXHIGHTMIN,Unknown,,quadratic,6,0,4.5,0.0875,1.0,350.1,6.0,"between,greater,less",5.62,5,2,3,4,0,,5,5,24,False,
