family,n,brier_model,brier_mid,brier_skill_score,logloss_model,logloss_mid,paired_diff_mean,ci_lo,ci_hi,p_value,beats_mid,offset_s,model,n_rows,base_rate,q_value,survives_fdr,beats_coinflip_after_fdr
KXBTC15M@60s::always_50,6262,0.25,0.25,0.0,0.693147,0.693147,0.0,0.0,0.0,2.0,False,60,always_50,6262,0.49297349089747683,1.0,False,False
KXBTC15M@60s::gbm_ewma,6262,0.039276,0.25,0.842895,0.139686,0.693147,0.21072366,0.20791334,0.21334613,0.0,True,60,gbm_ewma,6262,0.49297349089747683,0.0,True,True
KXBTC15M@60s::gbm_rv60,6262,0.040442,0.25,0.838231,0.141318,0.693147,0.20955765,0.20690551,0.21210706,0.0,True,60,gbm_rv60,6262,0.49297349089747683,0.0,True,True
KXBTC15M@60s::settlement_aware_ewma,6262,0.036328,0.25,0.854688,0.135358,0.693147,0.21367197,0.21030869,0.21683622,0.0,True,60,settlement_aware_ewma,6262,0.49297349089747683,0.0,True,True
KXBTC15M@60s::student_t_ewma,6262,0.037415,0.25,0.850339,0.130989,0.693147,0.21258477,0.20957129,0.21537534,0.0,True,60,student_t_ewma,6262,0.49297349089747683,0.0,True,True
KXBTC15M@60s::momentum,6262,0.189427,0.25,0.242294,0.566733,0.693147,0.06057342,0.05922996,0.06191313,0.0,True,60,momentum,6262,0.49297349089747683,0.0,True,True
KXBTC15M@60s::reversal,6262,0.333459,0.25,-0.333834,0.88615,0.693147,-0.08345859,-0.08609893,-0.08086892,0.0,False,60,reversal,6262,0.49297349089747683,0.0,True,False
KXBTC15M@120s::always_50,6262,0.25,0.25,0.0,0.693147,0.693147,0.0,0.0,0.0,2.0,False,120,always_50,6262,0.49297349089747683,1.0,False,False
KXBTC15M@120s::gbm_ewma,6262,0.06245,0.25,0.7502,0.21356,0.693147,0.1875501,0.18402385,0.19083828,0.0,True,120,gbm_ewma,6262,0.49297349089747683,0.0,True,True
KXBTC15M@120s::gbm_rv60,6262,0.063652,0.25,0.745391,0.216367,0.693147,0.18634777,0.18285974,0.18967721,0.0,True,120,gbm_rv60,6262,0.49297349089747683,0.0,True,True
