offset_s,model,n,sigma_scale,brier,cal_mae,paired_diff_vs_flat,ci_lo,ci_hi,improves
60,flat_sigma,2505,1.0,0.038236583810619625,0.03741134321299393,,,,
60,seasonal_sigma,2505,0.8858450201206005,0.03835837223914248,0.03757464620273037,-0.00012178842852285234,-0.00043229757503476557,0.00016287386192136494,False
120,flat_sigma,2505,1.0,0.06344542325814936,0.04309621572340649,,,,
120,seasonal_sigma,2505,0.8912582886500041,0.06313386029492819,0.04359107723864228,0.0003115629632211643,-7.922882128230263e-05,0.0006964253205131857,False
300,flat_sigma,2505,1.0,0.12339530894609799,0.04396921539402627,,,,
300,seasonal_sigma,2505,0.9145041393477268,0.12327260297632373,0.044938707367665906,0.00012270596977428342,-0.0002796128510939714,0.0005409963996113454,False
600,flat_sigma,2505,1.0,0.19095970822852038,0.04249916202528797,,,,
600,seasonal_sigma,2505,0.9608074182204741,0.19098906705999638,0.04192696560127312,-2.9358831476015778e-05,-0.00024864172243635897,0.00019688138123121718,False
780,flat_sigma,2505,1.0,0.2282415075181914,0.039771912533849575,,,,
780,seasonal_sigma,2505,0.9793655494045683,0.22830745194231516,0.0407979230975634,-6.594442412380868e-05,-0.0001668688342731323,3.2441363018725835e-05,False
