min_in_quarter,n,rms_logret,se,ci_lo,ci_hi,vol_ratio_to_mean
0,6847,0.0006854409414576318,5.85739995526116e-06,0.00067396043754532,0.0006969214453699437,1.1693702492664146
1,6848,0.0006593709149722242,5.634208477054854e-06,0.0006483278663571967,0.0006704139635872518,1.1248944796912943
2,6848,0.0006107821916002493,5.219026383190149e-06,0.0006005528998891965,0.000621011483311302,1.0420015503016435
3,6848,0.0006293981214018255,5.378096228575606e-06,0.0006188570527938174,0.0006399391900098337,1.0737605439008622
4,6848,0.0005781242212554849,4.939969771529278e-06,0.0005684418805032875,0.0005878065620076823,0.9862866715822889
5,6848,0.000631240541387164,5.393839383246185e-06,0.0006206686161960015,0.0006418124665783265,1.0769037339077605
6,6848,0.0006171338751430694,5.273300401724974e-06,0.0006067982063556885,0.0006274695439304503,1.052837596587315
7,6848,0.0005996212132300865,5.123657786369275e-06,0.0005895788439688027,0.0006096635824913703,1.0229607908876817
8,6848,0.0005673908058580361,4.848254625096704e-06,0.0005578882267928465,0.0005768933849232257,0.9679753395919594
9,6848,0.000542173908267156,4.632780671142357e-06,0.0005330936581517169,0.0005512541583825951,0.9249550178719504
10,6848,0.000572321954298724,4.890390421073253e-06,0.0005627367890734204,0.0005819071195240276,0.9763879364073677
11,6847,0.0005248534801612664,4.485108147578155e-06,0.0005160626681920132,0.0005336442921305195,0.8954061652917211
12,6847,0.000545233099600615,4.659261126736985e-06,0.0005361009477922105,0.0005543652514090195,0.9301740340056427
13,6847,0.0005203187182443466,4.446356575206652e-06,0.0005116038593569415,0.0005290335771317516,0.8876698085140305
14,6847,0.0005090329066675821,4.349914258696862e-06,0.0005005070747205363,0.000517558738614628,0.8684160821920662
