minute_of_day,n,rms_logret,se,ci_lo,ci_hi,vol_ratio_to_mean
0,71,0.0007835488738449828,6.575396082450738e-05,0.0006546711106289484,0.0009124266370610173,1.3995371846638762
1,72,0.00045083130557373733,3.756927546447811e-05,0.00037719552566336026,0.0005244670854841144,0.8052531210527093
2,72,0.0005368446464174551,4.473705386812126e-05,0.00044916002083593746,0.0006245292719989728,0.958885999493636
3,72,0.0004405566703431395,3.671305586192829e-05,0.00036859908085376005,0.0005125142598325189,0.786901063454163
4,72,0.0005207879984652952,4.3398999872107934e-05,0.0004357259587159637,0.0006058500382146268,0.9302063898097725
5,72,0.0006882985848542603,5.7358215404521696e-05,0.0005758764826613978,0.0008007206870471229,1.229405715214697
6,72,0.0005116989935851569,4.264158279876307e-05,0.00042812149129958126,0.0005952764958707324,0.9139720479251057
7,72,0.0005880451309898069,4.9003760915817244e-05,0.0004919977595948051,0.0006840925023848087,1.0503378341190688
8,72,0.0004473858801164971,3.728215667637476e-05,0.0003743128530308026,0.0005204589072021916,0.7990990683760294
9,72,0.0005240345539970474,4.3669546166420614e-05,0.000438442243510863,0.0006096268644832318,0.9360052306229395
10,72,0.0006751286111889476,5.626071759907897e-05,0.0005648576046947528,0.0007853996176831425,1.2058821438320961
11,72,0.0004301346083183677,3.584455069319731e-05,0.000359879288959701,0.0005003899276770344,0.7682856792306295
12,72,0.0004448222405886522,3.706852004905435e-05,0.00037216794129250565,0.0005174765398847988,0.794520019171751
13,72,0.0004612150704777164,3.8434589206476366e-05,0.0003858832756330227,0.00053654686532241,0.8238001008072887
14,72,0.0005368162572705233,4.473468810587694e-05,0.0004491362685830045,0.0006244962459580421,0.9588352921694367
15,72,0.0006053009936389748,5.044174946991457e-05,0.0005064351646779422,0.0007041668226000074,1.0811594232210406
16,72,0.0007046518798165941,5.872098998471617e-05,0.0005895587394465504,0.0008197450201866377,1.2586151814720508
17,72,0.0005344483852870997,4.4537365440591644e-05,0.0004471551490235401,0.0006217416215506593,0.9546059135053296
18,72,0.0006877699597529376,5.73141633127448e-05,0.0005754341996599577,0.0008001057198459174,1.2284615105699792
19,72,0.0005916081323187796,4.9300677693231636e-05,0.0004949788040400456,0.0006882374605975137,1.0567018951436662
20,72,0.000594116454364872,4.9509704530406e-05,0.0004970774334852763,0.0006911554752444677,1.0611821389316407
21,72,0.0006166522898520873,5.138769082100727e-05,0.000515932415842913,0.0007173721638612616,1.1014345607072675
22,72,0.0006347206060597899,5.2893383838315824e-05,0.0005310495737366909,0.0007383916383828889,1.133707315146766
23,72,0.0004485134770884422,3.737612309070352e-05,0.0003752562758306633,0.0005217706783462211,0.8011131276698773
