family,n,brier_model,brier_mid,brier_skill_score,logloss_model,logloss_mid,paired_diff_mean,ci_lo,ci_hi,p_value,beats_mid,case,model,control_type,q_value,survives_fdr,detected_edge
A_walk_true_mid::gbm,4000,0.192506,0.192506,0.0,0.565748,0.565748,0.0,0.0,0.0,2.0,False,A_walk_true_mid,gbm,negative,1.0,False,False
A_walk_true_mid::settlement_aware,4000,0.19252,0.192506,-7.2e-05,0.565848,0.565748,-1.385e-05,-0.00017112,0.000136,0.851,False,A_walk_true_mid,settlement_aware,negative,0.9725714285714285,False,False
A_walk_true_mid::student_t,4000,0.193806,0.192506,-0.006754,0.569871,0.565748,-0.00130027,-0.00238227,-0.00024123,0.012,False,A_walk_true_mid,student_t,negative,0.016941176470588237,True,False
A_walk_true_mid::always_50,4000,0.25,0.192506,-0.298663,0.693147,0.565748,-0.05749433,-0.06318021,-0.05153214,0.0,False,A_walk_true_mid,always_50,negative,0.0,True,False
A_walk_true_mid::momentum,4000,0.24706,0.192506,-0.28339,0.687266,0.565748,-0.0545542,-0.06010434,-0.04876938,0.0,False,A_walk_true_mid,momentum,negative,0.0,True,False
A_walk_true_mid::reversal,4000,0.253019,0.192506,-0.314346,0.699186,0.565748,-0.06051341,-0.0663447,-0.05437015,0.0,False,A_walk_true_mid,reversal,negative,0.0,True,False
B_severed_outcomes::gbm,4000,0.303484,0.25,-0.213936,0.852503,0.693147,-0.05348395,-0.06136797,-0.04599588,0.0,False,B_severed_outcomes,gbm,negative,0.0,True,False
B_severed_outcomes::settlement_aware,4000,0.306108,0.25,-0.224433,0.863991,0.693147,-0.05610827,-0.06419065,-0.04840845,0.0,False,B_severed_outcomes,settlement_aware,negative,0.0,True,False
B_severed_outcomes::student_t,4000,0.319624,0.25,-0.278496,0.911167,0.693147,-0.06962395,-0.07858723,-0.06102635,0.0,False,B_severed_outcomes,student_t,negative,0.0,True,False
B_severed_outcomes::always_50,4000,0.25,0.25,0.0,0.693147,0.693147,0.0,0.0,0.0,2.0,False,B_severed_outcomes,always_50,negative,1.0,False,False
B_severed_outcomes::momentum,4000,0.249929,0.25,0.000284,0.693005,0.693147,7.108e-05,-0.00012674,0.00025515,0.492,False,B_severed_outcomes,momentum,negative,0.6214736842105263,False,False
B_severed_outcomes::reversal,4000,0.250152,0.25,-0.000606,0.69345,0.693147,-0.0001515,-0.00033402,4.632e-05,0.125,False,B_severed_outcomes,reversal,negative,0.16666666666666666,False,False
C_pure_noise::gbm,4000,0.435688,0.25,-0.74275,4.033424,0.693147,-0.1856876,-0.19950685,-0.17166786,0.0,False,C_pure_noise,gbm,negative,0.0,True,False
C_pure_noise::settlement_aware,4000,0.43747,0.25,-0.749879,4.170465,0.693147,-0.1874698,-0.20137521,-0.17343059,0.0,False,C_pure_noise,settlement_aware,negative,0.0,True,False
C_pure_noise::student_t,4000,0.440863,0.25,-0.763453,2.312528,0.693147,-0.19086335,-0.2046728,-0.17670026,0.0,False,C_pure_noise,student_t,negative,0.0,True,False
C_pure_noise::always_50,4000,0.25,0.25,0.0,0.693147,0.693147,0.0,0.0,0.0,2.0,False,C_pure_noise,always_50,negative,1.0,False,False
C_pure_noise::momentum,4000,0.250276,0.25,-0.001104,0.69371,0.693147,-0.0002761,-0.00135441,0.00075445,0.598,False,C_pure_noise,momentum,negative,0.7176,False,False
C_pure_noise::reversal,4000,0.2521,0.25,-0.0084,0.697371,0.693147,-0.00209993,-0.00314396,-0.00099883,0.0,False,C_pure_noise,reversal,negative,0.0,True,False
D_biased_mid::gbm,4000,0.187523,0.192507,0.025893,0.553656,0.567145,0.00498466,0.00331626,0.00652685,0.0,True,D_biased_mid,gbm,positive,0.0,True,True
D_biased_mid::settlement_aware,4000,0.187401,0.192507,0.026522,0.553268,0.567145,0.00510575,0.00328968,0.00676596,0.0,True,D_biased_mid,settlement_aware,positive,0.0,True,True
D_biased_mid::student_t,4000,0.187988,0.192507,0.023474,0.555036,0.567145,0.00451888,0.00184082,0.00698937,0.0,True,D_biased_mid,student_t,positive,0.0,True,True
D_biased_mid::always_50,4000,0.25,0.192507,-0.298652,0.693147,0.567145,-0.05749275,-0.06160802,-0.05329856,0.0,False,D_biased_mid,always_50,positive,0.0,True,False
D_biased_mid::momentum,4000,0.246941,0.192507,-0.282762,0.687028,0.567145,-0.0544337,-0.0584193,-0.05039536,0.0,False,D_biased_mid,momentum,positive,0.0,True,False
D_biased_mid::reversal,4000,0.253138,0.192507,-0.314953,0.699424,0.567145,-0.06063064,-0.06487611,-0.0562823,0.0,False,D_biased_mid,reversal,positive,0.0,True,False
