family,n,brier_model,brier_mid,brier_skill_score,logloss_model,logloss_mid,paired_diff_mean,ci_lo,ci_hi,p_value,beats_mid,model,city,q_value,survives_fdr,beats_climatology
climatology,2036,0.220903,0.220903,0.0,0.698658,0.698658,0.0,0.0,0.0,2.0,False,climatology,KXTEMPDCH,1.0,False,False
persistence,2036,0.101147,0.220903,0.54212,0.374964,0.698658,0.11975608,0.10395981,0.13574525,0.0,True,persistence,KXTEMPDCH,0.0,True,True
persist_hod,2036,0.079678,0.220903,0.639307,0.302536,0.698658,0.14122498,0.12674764,0.15569136,0.0,True,persist_hod,KXTEMPDCH,0.0,True,True
always_50,2036,0.25,0.220903,-0.131718,0.693147,0.698658,-0.02909689,-0.04217019,-0.01606634,0.0,False,always_50,KXTEMPDCH,0.0,True,False
climatology,2022,0.162808,0.162808,0.0,0.488303,0.488303,0.0,0.0,0.0,2.0,False,climatology,KXTEMPLAXH,1.0,False,False
persistence,2022,0.075176,0.162808,0.538254,0.250988,0.488303,0.08763231,0.07759771,0.09830649,0.0,True,persistence,KXTEMPLAXH,0.0,True,True
persist_hod,2022,0.05788,0.162808,0.644488,0.19417,0.488303,0.10492802,0.09602603,0.11437533,0.0,True,persist_hod,KXTEMPLAXH,0.0,True,True
always_50,2022,0.25,0.162808,-0.535547,0.693147,0.488303,-0.08719156,-0.09724416,-0.07642711,0.0,False,always_50,KXTEMPLAXH,0.0,True,False
climatology,2039,0.294162,0.294162,0.0,0.966769,0.966769,0.0,0.0,0.0,2.0,False,climatology,KXTEMPCHIH,1.0,False,False
persistence,2039,0.097939,0.294162,0.667057,0.319417,0.966769,0.1962228,0.17810096,0.21389422,0.0,True,persistence,KXTEMPCHIH,0.0,True,True
persist_hod,2039,0.074408,0.294162,0.747049,0.247436,0.966769,0.21975354,0.2024784,0.2365612,0.0,True,persist_hod,KXTEMPCHIH,0.0,True,True
always_50,2039,0.25,0.294162,0.150128,0.693147,0.966769,0.04416195,0.02765497,0.06013539,0.0,True,always_50,KXTEMPCHIH,0.0,True,True
climatology,1996,0.272543,0.272543,0.0,0.951714,0.951714,0.0,0.0,0.0,2.0,False,climatology,KXTEMPAUSH,1.0,False,False
persistence,1996,0.135088,0.272543,0.50434,0.432532,0.951714,0.13745425,0.1216883,0.15444882,0.0,True,persistence,KXTEMPAUSH,0.0,True,True
persist_hod,1996,0.093123,0.272543,0.658319,0.31341,0.951714,0.17941989,0.16566914,0.19467721,0.0,True,persist_hod,KXTEMPAUSH,0.0,True,True
always_50,1996,0.25,0.272543,0.082712,0.693147,0.951714,0.02254263,0.00866031,0.03788295,0.0,True,always_50,KXTEMPAUSH,0.0,True,True
