phase,factor,level,n,mis_pp,ci_lo,ci_hi,p_one,p_two,net_c,note,p_bh,bh_reject
2,headline,deep:12 (pre-committed primary),5390,-0.836,-2.097,0.422,0.90202,0.2058,-4.7915,,0.2058,False
2,headline,deep:30@38 (best-targeted),3436,-2.415,-3.905,-0.93,0.99922,0.00185,-6.1144,,0.00185,True
2,headline,label-verified subsample,223,-5.937,-11.657,-0.231,0.97625,0.06645,-9.5477,,0.06645,False
2-grid,entry definition,deep:8+0,5542,-0.91,-2.172,0.319,0.925,0.15845,-4.8467,,0.15845,False
2-grid,entry definition,deep:12+0,5390,-0.836,-2.124,0.4,0.90425,0.2021,-4.7915,,0.2021,False
2-grid,entry definition,deep:16+0,4973,-1.548,-2.866,-0.207,0.98882,0.0242,-5.4827,,0.0242,True
2-grid,entry definition,deep:20+0,4551,-1.838,-3.227,-0.427,0.99545,0.0098,-5.7413,,0.0098,True
2-grid,entry definition,deep:25+0,4052,-2.521,-4.008,-1.083,0.99968,0.00075,-6.361,,0.00075,True
2-grid,entry definition,deep:30+0,3611,-2.405,-3.896,-0.926,0.999,0.00225,-6.1701,,0.00225,True
2-grid,entry definition,deep:12@38+0,4827,-1.366,-2.687,-0.051,0.9782,0.04685,-5.2386,,0.04685,False
2-grid,entry definition,deep:20@38+0,4188,-2.185,-3.517,-0.765,0.99878,0.00305,-6.0077,,0.00305,True
2-grid,entry definition,deep:30@38+0,3436,-2.415,-3.914,-0.894,0.9993,0.00185,-6.1144,,0.00185,True
2-grid,entry definition,deep:12+5,4781,-1.522,-2.857,-0.198,0.9867,0.0291,-5.3976,,0.0291,True
2-grid,entry definition,deep:12+10,4358,-1.928,-3.28,-0.556,0.99638,0.0079,-5.7517,,0.0079,True
2-grid,entry definition,cp+0,3524,0.142,-1.279,1.619,0.43062,0.86125,-3.4834,,0.86125,False
2-grid,entry definition,cp+5,3285,0.237,-1.192,1.671,0.39165,0.7833,-3.3607,,0.7833,False
2-grid,entry definition,cp+10,3115,-0.068,-1.595,1.478,0.5409,0.949,-3.6795,,0.949,False
2-grid,entry definition,cp+15,2934,0.199,-1.364,1.695,0.40982,0.81965,-3.3301,,0.81965,False
2-grid,entry definition,cp+20,2733,-0.058,-1.664,1.492,0.53505,0.9642,-3.6127,,0.9642,False
2-grid,entry definition,causal:5+0,3846,-1.339,-2.792,0.194,0.96222,0.08145,-5.2456,,0.08145,False
2-grid,entry definition,causal:8+0,3940,-1.411,-2.906,0.04,0.97045,0.06395,-5.3155,,0.06395,False
2-grid,entry definition,causal:12+0,3866,-1.969,-3.413,-0.497,0.99495,0.0114,-5.819,,0.0114,True
2-grid,entry definition,causal:16+0,3434,-1.99,-3.594,-0.393,0.9935,0.0142,-5.8006,,0.0142,True
2-grid,entry definition,fixed+25,3094,-1.815,-3.439,-0.154,0.9854,0.033,-5.8458,,0.033,True
2-grid,entry definition,fixed+30,3296,-1.164,-2.737,0.432,0.92605,0.15795,-5.1207,,0.15795,False
2-grid,entry definition,fixed+35,3326,-1.156,-2.694,0.45,0.9248,0.1609,-5.0593,,0.1609,False
2-grid,entry definition,fixed+40,3341,-2.091,-3.659,-0.524,0.99502,0.0108,-5.9817,,0.0108,True
2-grid,entry definition,fixed+45,3335,-1.587,-3.191,-0.018,0.9762,0.0516,-5.4614,,0.0516,False
2-grid,entry definition,fixed+50,3316,-1.686,-3.258,-0.115,0.9819,0.03955,-5.5767,,0.03955,False
2-grid,entry definition,fixed+60,3381,-1.326,-2.871,0.247,0.95558,0.096,-5.0919,,0.096,False
2-grid,entry definition,fixed+75,3279,-1.652,-3.132,-0.063,0.98348,0.0374,-5.3089,,0.0374,True
2-grid,entry definition,cpleak-10,4390,6.957,5.587,8.22,0.0,0.0,2.9899,"DELIBERATE LEAK, diagnostic only",0.0,True
2-grid,entry definition,cpleak+0,3898,-2.665,-4.019,-1.314,0.99985,0.0003,-6.401,"DELIBERATE LEAK, diagnostic only",0.0003,True
4-holdout,top config,f_strength=90+,153,3.719,-2.716,9.788,0.15898,,0.2683,"holdout, run once",0.31796,False
4-holdout,top config,f_drop=30c+,283,2.087,-3.251,7.465,0.2391,,-1.4899,"holdout, run once",0.4782,False
4-holdout,top config,f_drop=5-10c,333,1.505,-3.386,6.384,0.29228,,-2.2246,"holdout, run once",0.58456,False
4-holdout,"undershoot, deep:30@38",all,3436,-2.415,-3.93,-0.889,0.0009,,-1.1951,fade side; p is one-sided for UNDERSHOOT,0.0018,True
4-holdout,"undershoot, deep:30@38",train (oldest 60%),2062,-2.513,-4.452,-0.543,0.00582,,-1.2,fade side; p is one-sided for UNDERSHOOT,0.01164,True
4-holdout,"undershoot, deep:30@38",holdout (newest 40%),1374,-2.269,-4.665,0.17,0.03102,,-1.1876,fade side; p is one-sided for UNDERSHOOT,0.06204,False
5-1b,maker fill,improve/5min,2437,,,,,,-0.949,"fill 0.709; per-opportunity, 1/4 fee",,False
5-1b,maker fill,improve/10min,2738,,,,,,-0.8711,"fill 0.797; per-opportunity, 1/4 fee",,False
5-1b,maker fill,improve/20min,2897,,,,,,-0.8308,"fill 0.843; per-opportunity, 1/4 fee",,False
5-1b,maker fill,improve/30min,2971,,,,,,-0.9048,"fill 0.865; per-opportunity, 1/4 fee",,False
5-1b,maker fill,improve/endmin,3029,,,,,,-1.2198,"fill 0.882; per-opportunity, 1/4 fee",,False
5-1b,maker fill,join_ask/5min,2167,,,,,,-0.2055,"fill 0.631; per-opportunity, 1/4 fee",,False
5-1b,maker fill,join_ask/10min,2528,,,,,,-0.3041,"fill 0.736; per-opportunity, 1/4 fee",,False
