+400 mirror sides
fetching 20,182 markets with 9 workers ...
  500/20,182     152s    3.3/s  fail=5
  1,000/20,182     279s    3.6/s  fail=8
  1,500/20,182     408s    3.7/s  fail=15
  2,000/20,182     553s    3.6/s  fail=17
  2,500/20,182     687s    3.6/s  fail=19
  3,000/20,182     831s    3.6/s  fail=21
  3,500/20,182     990s    3.5/s  fail=24
  4,000/20,182    1138s    3.5/s  fail=33
  4,500/20,182    1266s    3.6/s  fail=35
  5,000/20,182    1419s    3.5/s  fail=40
  5,500/20,182    1551s    3.5/s  fail=45
  6,000/20,182    1691s    3.5/s  fail=51
  6,500/20,182    1813s    3.6/s  fail=58
  7,000/20,182    1951s    3.6/s  fail=59
  7,500/20,182    2102s    3.6/s  fail=63
  8,000/20,182    2226s    3.6/s  fail=67
  8,500/20,182    2374s    3.6/s  fail=71
  9,000/20,182    2526s    3.6/s  fail=74
  9,500/20,182    2663s    3.6/s  fail=80
  10,000/20,182    2794s    3.6/s  fail=88
  10,500/20,182    2932s    3.6/s  fail=92
  11,000/20,182    3071s    3.6/s  fail=95
  11,500/20,182    3223s    3.6/s  fail=102
  12,000/20,182    3369s    3.6/s  fail=107
  12,500/20,182    3489s    3.6/s  fail=109
  13,000/20,182    3647s    3.6/s  fail=115
  13,500/20,182    3778s    3.6/s  fail=117
  14,000/20,182    3926s    3.6/s  fail=123
  14,500/20,182    4058s    3.6/s  fail=129
  15,000/20,182    4190s    3.6/s  fail=134
  15,500/20,182    4326s    3.6/s  fail=137
  16,000/20,182    4462s    3.6/s  fail=141
  16,500/20,182    4613s    3.6/s  fail=144
  17,000/20,182    4746s    3.6/s  fail=149
  17,500/20,182    4890s    3.6/s  fail=153
  18,000/20,182    5035s    3.6/s  fail=155
  18,500/20,182    5169s    3.6/s  fail=157
  19,000/20,182    5297s    3.6/s  fail=160
  19,500/20,182    5442s    3.6/s  fail=165
  20,000/20,182    5593s    3.6/s  fail=168

done in 93.9 min, 169 failures
6,474,771 candle rows in 14 parts
