gap,dens_win,dens_min,n,median_err,mad,p10,p90,frac_over_60,frac_neg
12,30,8,2138,5.0,6.0,-31.0,26.0,0.034144059869036486,0.15855940130963517
18,30,8,2138,5.0,6.0,-23.0,32.0,0.04069223573433115,0.14452759588400374
25,30,8,2138,6.0,7.0,-19.0,36.0,0.04864359214218896,0.13657623947614594
35,30,8,2138,6.0,7.0,-16.0,43.0,0.06407857811038353,0.12862488306828812
12,30,4,2150,7.0,9.0,-34.0,47.0,0.06511627906976744,0.14837209302325582
12,60,4,2150,7.0,10.0,-37.0,49.0,0.07162790697674419,0.14837209302325582
12,0,0,2153,7.0,10.0,-40.0,48.0,0.07106363214119833,0.15095215977705528
12,60,8,2140,7.0,10.0,-33.0,48.0,0.06635514018691589,0.14392523364485982
18,30,4,2150,9.0,11.0,-15.0,66.0,0.11395348837209303,0.11813953488372093
25,30,4,2150,10.0,12.0,-12.0,74.0,0.1386046511627907,0.10837209302325582
18,60,8,2140,13.0,14.0,-12.0,69.0,0.12196261682242991,0.10747663551401869
18,0,0,2153,13.0,15.0,-15.0,77.0,0.15281003251277286,0.114723641430562
35,30,4,2150,12.0,15.0,-10.0,87.0,0.1772093023255814,0.09906976744186047
18,60,4,2150,13.0,15.0,-13.0,77.0,0.1516279069767442,0.11162790697674418
25,60,8,2140,16.0,16.0,-9.0,85.0,0.1616822429906542,0.09392523364485982
35,60,8,2140,17.0,17.0,-7.0,93.0,0.18271028037383177,0.0883177570093458
25,60,4,2150,19.0,20.0,-9.0,101.10000000000014,0.23488372093023255,0.09488372093023256
25,0,0,2153,19.0,21.0,-10.0,104.0,0.24291686019507663,0.09939619136089178
35,60,4,2150,24.5,25.5,-6.0,123.0,0.2958139534883721,0.08465116279069768
35,0,0,2153,32.0,32.0,-7.0,131.79999999999995,0.3376683697166744,0.08824895494658616
