rule,n,mis_pp,lo,hi,net_c
deep:8+0,5542,-0.9102309635510646,-2.1720024359437025,0.31924621075424053,-4.846679393720678
deep:12+0,5390,-0.836456400742115,-2.1242648423005566,0.40011363636363645,-4.791535398886827
deep:16+0,4973,-1.5479589784838126,-2.865636939473155,-0.2073999597828272,-5.482704665192037
deep:20+0,4551,-1.8382773016919358,-3.227224785761371,-0.42685398813447567,-5.741334431992968
deep:25+0,4052,-2.521224086870681,-4.007863400789733,-1.0825209772951623,-6.360971964461994
deep:30+0,3611,-2.40473553032401,-3.8960987261146496,-0.9261458044862911,-6.170108252561618
deep:12@38+0,4827,-1.3661694634348456,-2.686671327946965,-0.05053604723430698,-5.238615019680961
deep:20@38+0,4188,-2.184933142311366,-3.516953199617956,-0.7653981614135626,-6.007728796561604
deep:30@38+0,3436,-2.4153084982537836,-3.914293509895227,-0.894321158323632,-6.1144452561117575
deep:12+5,4781,-1.5218573520184062,-2.8568709475005227,-0.1977802760928673,-5.397636937879104
deep:12+10,4358,-1.9276044056906838,-3.2803264111977968,-0.5560348783845798,-5.751663125286829
cp+0,3524,0.14188422247446084,-1.278947928490352,1.6193955732122591,-3.483416770715096
cp+5,3285,0.23729071537290716,-1.1919939117199392,1.6714231354642315,-3.360719817351598
cp+10,3115,-0.06773675762439807,-1.5948635634028892,1.4776243980738366,-3.6795369823434987
cp+15,2934,0.19887525562372188,-1.3641402522154056,1.6953263462849355,-3.33008002726653
cp+20,2733,-0.05799487742407611,-1.6639818880351263,1.4921880717160632,-3.612711928283937
causal:5+0,3846,-1.3389235569422777,-2.792274440977639,0.1935809932397296,-5.2456376235049404
causal:8+0,3940,-1.4111675126903553,-2.9058185279187816,0.040088832487310065,-5.315527538071066
causal:12+0,3866,-1.9694774961200208,-3.4130755302638387,-0.49739394723228136,-5.819037403000516
causal:16+0,3434,-1.9895165987186954,-3.594103086779266,-0.3932294700058239,-5.800649592312172
fixed+25,3094,-1.814802844214609,-3.439326115061409,-0.1537815126050418,-5.8458055591467355
fixed+30,3296,-1.1636832524271845,-2.7369918082524274,0.4318681735436898,-5.12069432645631
fixed+35,3326,-1.1558929645219482,-2.6938439567047503,0.4503983764281419,-5.059327330126277
fixed+40,3341,-2.090841065549237,-3.6594208320862016,-0.5240796168811733,-5.981690422029332
fixed+45,3335,-1.5865067466266867,-3.190749625187406,-0.01760119940029898,-5.461445367316342
fixed+50,3316,-1.6862183353437876,-3.2575392038600723,-0.1154855247285886,-5.576738721351025
fixed+60,3381,-1.3259390712806862,-2.8710847382431233,0.24727891156462645,-5.0919278911564625
fixed+75,3279,-1.651875571820677,-3.1319266544678257,-0.06337679170478784,-5.308866300701434
cpleak-10,4390,6.956947608200456,5.58745444191344,8.220353075170845,2.9899351480637817
cpleak+0,3898,-2.665084658799384,-4.018567213955874,-1.3139206003078499,-6.4009673165726015
