target,stop,net_c,lo,hi,pct_exited,sd
-,-,-5.250457566399011,-6.877864292773317,-3.5816315889437913,0.0,47.372082608292516
-,15,-5.988506084002469,-6.928363360870908,-5.0796253497529325,0.7319332921556516,26.993903108642176
-,20,-6.063367171093267,-7.057817926961087,-4.979658450432365,0.663372452130945,31.20091636577772
-,25,-6.130328844966028,-7.306995346664608,-5.00682987415071,0.6068560840024707,34.584496300355774
-,30,-6.022104014823966,-7.372128042001235,-4.734396803582458,0.5407659048795552,37.7576786006119
10,-,-7.49142940086473,-8.514860876312538,-6.476978889746758,0.7161828289067326,29.500235957602737
10,15,-6.940847004323656,-7.483455404570723,-6.399624394688079,0.9867201976528721,15.668593518790194
10,20,-7.205335237801111,-7.795323057442866,-6.5696973988573175,0.9823965410747375,18.235644595643596
10,25,-7.249071803582458,-7.919958516831377,-6.534491712476838,0.9752933909820877,20.408002914041116
10,30,-7.115471988882026,-7.8781873216491665,-6.3158492696108715,0.9657195799876467,22.24979584405154
15,-,-7.1922449660284125,-8.32632425880173,-6.014411515596047,0.6451513279802347,33.18574788975673
15,15,-6.841849104385423,-7.446420181439159,-6.234119035670167,0.9752933909820877,17.68695088608857
15,20,-7.007938882025941,-7.742849761426806,-6.305328363187153,0.9669549104385423,20.604498885006056
15,25,-7.091362940086474,-7.861469595429277,-6.285532644379247,0.958616429894997,23.018720125286173
15,30,-6.9733597899938236,-7.8366923556207535,-6.100594851760346,0.9450277949351451,25.18247674141554
20,-,-6.870147220506485,-8.091147662137121,-5.57680275710315,0.5636195182211241,36.40069482098314
20,15,-6.772511828289067,-7.458390870907967,-6.075338262044472,0.9530574428659666,19.51018830907351
20,20,-6.928667418159358,-7.72497778180976,-6.152718530728845,0.939159975293391,22.711493890541202
20,25,-7.031207072266832,-7.889514105157505,-6.179009805435455,0.9286596664607782,25.351495220645983
20,30,-6.891660407659049,-7.877571517140209,-5.9648740673255105,0.9098208770846201,27.77639365875751
25,-,-6.702482365657813,-7.9998851528721415,-5.330342998764669,0.47869054972205066,39.21076650926459
25,15,-6.627360716491662,-7.341394529030264,-5.936159834774552,0.9302038295243977,21.11313820636193
25,20,-6.842112693020383,-7.693039070413835,-5.998588992433601,0.9129092032118592,24.573980215585628
25,25,-7.024104169240271,-7.975504154570722,-6.087532463712169,0.8977764051883879,27.41137664551846
25,30,-6.900168004941323,-7.935841917850525,-5.853552186534898,0.8733786287831995,30.06480653407934
