fetching 19,782 markets with 9 workers ...
  500/19,782     141s    3.5/s  fail=4
  1,000/19,782     259s    3.9/s  fail=6
  1,500/19,782     393s    3.8/s  fail=11
  2,000/19,782     519s    3.9/s  fail=14
  2,500/19,782     636s    3.9/s  fail=17
  3,000/19,782     769s    3.9/s  fail=19
  3,500/19,782     913s    3.8/s  fail=23
  4,000/19,782    1037s    3.9/s  fail=29
  4,500/19,782    1164s    3.9/s  fail=33
  5,000/19,782    1278s    3.9/s  fail=37
  5,500/19,782    1414s    3.9/s  fail=39
  6,000/19,782    1540s    3.9/s  fail=41
  6,500/19,782    1670s    3.9/s  fail=47
  7,000/19,782    1779s    3.9/s  fail=50
  7,500/19,782    1909s    3.9/s  fail=54
  8,000/19,782    2036s    3.9/s  fail=59
  8,500/19,782    2166s    3.9/s  fail=64
  9,000/19,782    2286s    3.9/s  fail=65
  9,500/19,782    2427s    3.9/s  fail=70
  10,000/19,782    2587s    3.9/s  fail=78
  10,500/19,782    2729s    3.8/s  fail=83
  11,000/19,782    2859s    3.8/s  fail=88
  11,500/19,782    3009s    3.8/s  fail=93
  12,000/19,782    3144s    3.8/s  fail=102
  12,500/19,782    3262s    3.8/s  fail=106
  13,000/19,782    3408s    3.8/s  fail=112
  13,500/19,782    3525s    3.8/s  fail=115
  14,000/19,782    3644s    3.8/s  fail=117
  14,500/19,782    3783s    3.8/s  fail=120
  15,000/19,782    3901s    3.8/s  fail=123
  15,500/19,782    4058s    3.8/s  fail=130
  16,000/19,782    4177s    3.8/s  fail=133
  16,500/19,782    4308s    3.8/s  fail=137
  17,000/19,782    4439s    3.8/s  fail=140
  17,500/19,782    4577s    3.8/s  fail=146
  18,000/19,782    4682s    3.8/s  fail=149
  18,500/19,782    4804s    3.9/s  fail=155
  19,000/19,782    4936s    3.8/s  fail=158
  19,500/19,782    5062s    3.9/s  fail=161

done in 85.7 min, 164 failures
6,262,345 candle rows in 14 parts
