minute,leader_goals,trailer_goals,leader_strength,trailer_strength,competition,matches,comebacks,comebacks_per_100,could_really_be_low_per_100,could_really_be_high_per_100
1,1,0,ALL,ALL,ALL,678,122,17.99,15.29,21.06
1,1,0,bottom third,bottom third,ALL,48,5,10.42,4.53,22.17
1,1,0,bottom third,middle third,ALL,52,14,26.92,16.77,40.25
1,1,0,bottom third,top third,ALL,76,26,34.21,24.54,45.40
1,1,0,middle third,bottom third,ALL,75,11,14.67,8.39,24.38
1,1,0,middle third,middle third,ALL,70,13,18.57,11.19,29.23
1,1,0,middle third,top third,ALL,67,14,20.90,12.88,32.07
1,1,0,top third,bottom third,ALL,75,6,8.00,3.72,16.37
1,1,0,top third,middle third,ALL,77,11,14.29,8.17,23.80
1,1,0,top third,top third,ALL,73,8,10.96,5.66,20.16
1,1,0,unknown,unknown,ALL,32,8,25.00,13.25,42.11
2,1,0,ALL,ALL,ALL,1722,288,16.72,15.04,18.56
2,1,0,bottom third,bottom third,ALL,132,22,16.67,11.27,23.95
2,1,0,bottom third,middle third,ALL,125,33,26.40,19.46,34.75
2,1,0,bottom third,top third,ALL,147,46,31.29,24.35,39.18
2,1,0,middle third,bottom third,ALL,184,28,15.22,10.74,21.11
2,1,0,middle third,middle third,ALL,150,20,13.33,8.80,19.70
2,1,0,middle third,top third,ALL,178,37,20.79,15.47,27.33
2,1,0,top third,bottom third,ALL,195,17,8.72,5.51,13.52
2,1,0,top third,middle third,ALL,231,28,12.12,8.52,16.96
2,1,0,top third,top third,ALL,201,30,14.93,10.66,20.51
2,1,0,unknown,unknown,ALL,93,14,15.05,9.18,23.70
3,1,0,ALL,ALL,ALL,2815,460,16.34,15.02,17.75
3,1,0,bottom third,bottom third,ALL,207,33,15.94,11.58,21.54
3,1,0,bottom third,middle third,ALL,226,53,23.45,18.40,29.39
3,1,0,bottom third,top third,ALL,217,65,29.95,24.25,36.35
3,1,0,middle third,bottom third,ALL,301,43,14.29,10.78,18.69
3,1,0,middle third,middle third,ALL,255,39,15.29,11.39,20.22
3,1,0,middle third,top third,ALL,283,61,21.55,17.16,26.71
3,1,0,top third,bottom third,ALL,324,23,7.10,4.78,10.43
3,1,0,top third,middle third,ALL,375,42,11.20,8.39,14.79
3,1,0,top third,top third,ALL,320,55,17.19,13.45,21.70
3,1,0,top third,unknown,ALL,37,2,5.41,1.50,17.70
3,1,0,unknown,unknown,ALL,165,27,16.36,11.50,22.76
4,2,0,ALL,ALL,ALL,37,2,5.41,1.50,17.70
4,1,0,ALL,ALL,ALL,3981,631,15.85,14.75,17.02
4,1,0,bottom third,bottom third,ALL,301,48,15.95,12.24,20.51
4,1,0,bottom third,middle third,ALL,314,70,22.29,18.04,27.22
4,1,0,bottom third,top third,ALL,289,81,28.03,23.16,33.47
4,1,0,middle third,bottom third,ALL,416,58,13.94,10.94,17.60
4,1,0,middle third,middle third,ALL,371,54,14.56,11.33,18.51
4,1,0,middle third,top third,ALL,400,85,21.25,17.52,25.52
4,1,0,middle third,unknown,ALL,31,3,9.68,3.35,24.90
4,1,0,top third,bottom third,ALL,447,35,7.83,5.68,10.70
4,1,0,top third,middle third,ALL,540,59,10.93,8.57,13.84
4,1,0,top third,top third,ALL,456,75,16.45,13.33,20.13
4,1,0,top third,unknown,ALL,53,5,9.43,4.10,20.25
4,1,0,unknown,middle third,ALL,39,2,5.13,1.42,16.89
4,1,0,unknown,top third,ALL,31,10,32.26,18.57,49.86
4,1,0,unknown,unknown,ALL,239,38,15.90,11.81,21.07
5,2,0,ALL,ALL,ALL,69,3,4.35,1.49,12.02
5,1,0,ALL,ALL,ALL,5139,819,15.94,14.96,16.96
5,1,0,bottom third,bottom third,ALL,386,63,16.32,12.97,20.34
5,1,0,bottom third,middle third,ALL,410,86,20.98,17.31,25.18
5,1,0,bottom third,top third,ALL,393,112,28.50,24.26,33.15
5,1,0,bottom third,unknown,ALL,37,5,13.51,5.91,27.98
5,1,0,middle third,bottom third,ALL,538,74,13.75,11.10,16.92
5,1,0,middle third,middle third,ALL,481,73,15.18,12.25,18.66
5,1,0,middle third,top third,ALL,495,105,21.21,17.84,25.03
5,1,0,middle third,unknown,ALL,43,5,11.63,5.07,24.48
5,1,0,top third,bottom third,ALL,590,52,8.81,6.78,11.38
5,1,0,top third,middle third,ALL,670,74,11.04,8.89,13.64
5,1,0,top third,top third,ALL,604,92,15.23,12.59,18.32
5,1,0,top third,unknown,ALL,68,8,11.76,6.08,21.54
5,1,0,unknown,bottom third,ALL,40,8,20.00,10.50,34.76
5,1,0,unknown,middle third,ALL,47,2,4.26,1.17,14.25
5,1,0,unknown,top third,ALL,41,11,26.83,15.69,41.93
5,1,0,unknown,unknown,ALL,296,49,16.55,12.75,21.21
6,2,0,ALL,ALL,ALL,130,7,5.38,2.63,10.70
6,1,0,ALL,ALL,ALL,6236,1010,16.20,15.30,17.13
6,1,0,bottom third,bottom third,ALL,473,82,17.34,14.19,21.01
6,1,0,bottom third,middle third,ALL,498,111,22.29,18.85,26.15
6,1,0,bottom third,top third,ALL,481,133,27.65,23.84,31.81
6,1,0,bottom third,unknown,ALL,38,5,13.16,5.75,27.33
6,1,0,middle third,bottom third,ALL,642,92,14.33,11.83,17.25
6,1,0,middle third,middle third,ALL,582,95,16.32,13.54,19.54
6,1,0,middle third,top third,ALL,588,130,22.11,18.94,25.64
6,1,0,middle third,unknown,ALL,61,6,9.84,4.59,19.84
6,1,0,top third,bottom third,ALL,731,62,8.48,6.67,10.72
6,1,0,top third,middle third,ALL,803,85,10.59,8.64,12.90
6,1,0,top third,top third,ALL,730,112,15.34,12.91,18.14
6,1,0,top third,unknown,ALL,88,10,11.36,6.29,19.67
6,1,0,unknown,bottom third,ALL,48,10,20.83,11.73,34.26
6,1,0,unknown,middle third,ALL,54,2,3.70,1.02,12.54
6,1,0,unknown,top third,ALL,50,14,28.00,17.47,41.67
6,1,0,unknown,unknown,ALL,369,61,16.53,13.09,20.66
7,2,0,ALL,ALL,ALL,202,9,4.46,2.36,8.25
7,2,0,top third,bottom third,ALL,37,0,0.00,0.00,9.41
7,2,0,top third,middle third,ALL,30,1,3.33,0.59,16.67
7,1,0,ALL,ALL,ALL,7236,1168,16.14,15.31,17.01
7,1,0,bottom third,bottom third,ALL,549,96,17.49,14.54,20.89
7,1,0,bottom third,middle third,ALL,569,126,22.14,18.93,25.74
7,1,0,bottom third,top third,ALL,546,141,25.82,22.33,29.66
7,1,0,bottom third,unknown,ALL,46,8,17.39,9.09,30.72
7,1,0,middle third,bottom third,ALL,770,107,13.90,11.63,16.52
7,1,0,middle third,middle third,ALL,681,119,17.47,14.81,20.51
7,1,0,middle third,top third,ALL,679,156,22.97,19.97,26.29
7,1,0,middle third,unknown,ALL,71,7,9.86,4.86,18.98
7,1,0,top third,bottom third,ALL,843,70,8.30,6.62,10.36
7,1,0,top third,middle third,ALL,945,97,10.26,8.49,12.36
7,1,0,top third,top third,ALL,825,124,15.03,12.75,17.63
7,1,0,top third,unknown,ALL,99,11,11.11,6.32,18.81
7,1,0,unknown,bottom third,ALL,60,12,20.00,11.83,31.78
7,1,0,unknown,middle third,ALL,65,4,6.15,2.42,14.78
7,1,0,unknown,top third,ALL,62,18,29.03,19.22,41.29
7,1,0,unknown,unknown,ALL,426,72,16.90,13.64,20.75
8,2,0,ALL,ALL,ALL,272,9,3.31,1.75,6.17
8,2,0,top third,bottom third,ALL,48,0,0.00,0.00,7.41
8,2,0,top third,middle third,ALL,39,0,0.00,0.00,8.97
8,2,0,top third,top third,ALL,33,3,9.09,3.14,23.57
8,1,0,ALL,ALL,ALL,8227,1304,15.85,15.08,16.66
8,1,0,bottom third,bottom third,ALL,623,107,17.17,14.42,20.34
8,1,0,bottom third,middle third,ALL,655,149,22.75,19.70,26.11
8,1,0,bottom third,top third,ALL,606,152,25.08,21.80,28.68
8,1,0,bottom third,unknown,ALL,53,10,18.87,10.59,31.36
8,1,0,middle third,bottom third,ALL,871,117,13.43,11.33,15.86
8,1,0,middle third,middle third,ALL,756,126,16.67,14.18,19.49
8,1,0,middle third,top third,ALL,777,178,22.91,20.09,25.99
8,1,0,middle third,unknown,ALL,84,9,10.71,5.74,19.12
8,1,0,top third,bottom third,ALL,967,82,8.48,6.88,10.40
8,1,0,top third,middle third,ALL,1078,104,9.65,8.03,11.56
8,1,0,top third,top third,ALL,944,137,14.51,12.41,16.90
8,1,0,top third,unknown,ALL,117,12,10.26,5.96,17.07
8,1,0,unknown,bottom third,ALL,61,14,22.95,14.19,34.91
8,1,0,unknown,middle third,ALL,72,5,6.94,3.00,15.25
8,1,0,unknown,top third,ALL,73,19,26.03,17.34,37.11
8,1,0,unknown,unknown,ALL,490,83,16.94,13.88,20.51
9,2,0,ALL,ALL,ALL,361,15,4.16,2.53,6.74
9,2,0,bottom third,middle third,ALL,30,1,3.33,0.59,16.67
9,2,0,middle third,bottom third,ALL,34,1,2.94,0.52,14.92
9,2,0,middle third,middle third,ALL,30,1,3.33,0.59,16.67
9,2,0,middle third,top third,ALL,33,1,3.03,0.54,15.32
9,2,0,top third,bottom third,ALL,62,0,0.00,0.00,5.83
9,2,0,top third,middle third,ALL,51,2,3.92,1.08,13.22
9,2,0,top third,top third,ALL,41,3,7.32,2.52,19.43
9,1,0,ALL,ALL,ALL,9200,1459,15.86,15.13,16.62
9,1,0,bottom third,bottom third,ALL,693,118,17.03,14.41,20.01
9,1,0,bottom third,middle third,ALL,725,156,21.52,18.68,24.65
9,1,0,bottom third,top third,ALL,673,172,25.56,22.41,28.98
9,1,0,bottom third,unknown,ALL,54,10,18.52,10.38,30.84
9,1,0,middle third,bottom third,ALL,967,130,13.44,11.44,15.74
9,1,0,middle third,middle third,ALL,847,138,16.29,13.96,18.93
9,1,0,middle third,top third,ALL,863,205,23.75,21.04,26.71
9,1,0,middle third,unknown,ALL,93,9,9.68,5.18,17.38
9,1,0,top third,bottom third,ALL,1074,92,8.57,7.04,10.39
9,1,0,top third,middle third,ALL,1222,117,9.57,8.05,11.35
9,1,0,top third,top third,ALL,1076,166,15.43,13.39,17.71
9,1,0,top third,unknown,ALL,131,14,10.69,6.47,17.14
9,1,0,unknown,bottom third,ALL,66,14,21.21,13.08,32.51
9,1,0,unknown,middle third,ALL,85,9,10.59,5.67,18.91
9,1,0,unknown,top third,ALL,79,21,26.58,18.09,37.24
9,1,0,unknown,unknown,ALL,552,88,15.94,13.13,19.23
10,2,0,ALL,ALL,ALL,458,19,4.15,2.67,6.39
10,2,0,bottom third,middle third,ALL,35,1,2.86,0.51,14.53
10,2,0,middle third,bottom third,ALL,49,1,2.04,0.36,10.69
10,2,0,middle third,middle third,ALL,34,2,5.88,1.63,19.09
10,2,0,middle third,top third,ALL,40,2,5.00,1.38,16.50
10,2,0,top third,bottom third,ALL,72,0,0.00,0.00,5.07
10,2,0,top third,middle third,ALL,67,3,4.48,1.53,12.36
10,2,0,top third,top third,ALL,51,3,5.88,2.02,15.92
10,1,0,ALL,ALL,ALL,10146,1602,15.79,15.09,16.51
10,1,0,bottom third,bottom third,ALL,767,123,16.04,13.61,18.80
10,1,0,bottom third,middle third,ALL,799,177,22.15,19.41,25.16
10,1,0,bottom third,top third,ALL,736,184,25.00,22.01,28.25
10,1,0,bottom third,unknown,ALL,67,12,17.91,10.55,28.75
10,1,0,middle third,bottom third,ALL,1045,146,13.97,12.00,16.21
10,1,0,middle third,middle third,ALL,930,148,15.91,13.70,18.40
10,1,0,middle third,top third,ALL,977,233,23.85,21.28,26.62
10,1,0,middle third,unknown,ALL,101,10,9.90,5.47,17.27
10,1,0,top third,bottom third,ALL,1200,100,8.33,6.90,10.03
10,1,0,top third,middle third,ALL,1344,131,9.75,8.27,11.45
10,1,0,top third,top third,ALL,1184,180,15.20,13.27,17.36
10,1,0,top third,unknown,ALL,148,14,9.46,5.72,15.25
10,1,0,unknown,bottom third,ALL,67,13,19.40,11.71,30.42
10,1,0,unknown,middle third,ALL,95,13,13.68,8.17,22.02
10,1,0,unknown,top third,ALL,79,20,25.32,17.03,35.89
10,1,0,unknown,unknown,ALL,607,98,16.14,13.43,19.28
11,2,0,ALL,ALL,ALL,563,25,4.44,3.03,6.47
11,2,0,bottom third,bottom third,ALL,39,0,0.00,0.00,8.97
11,2,0,bottom third,middle third,ALL,37,1,2.70,0.48,13.82
11,2,0,bottom third,top third,ALL,32,8,25.00,13.25,42.11
