WHAT KALSHI CHARGES TO BET AGAINST THE TEAM THAT IS BEHIND
==============================================================================

Read at the exact instant a goal was scored, plus two minutes.
No clock interpolation. Price is what you PAY to cross the
spread, not the middle of it.

544 priced moments

    fewer than 3 legs                        1566
    joined on a +/-1 day shift                355
    no ESPN fixture                          2755
    no candle at that instant                   6
    no goals                                   12
    priced states                             544

  minute    score   moments   you pay (middle)   spread
--------------------------------------------------------
     0-9      1-0        48               94.0      1.0
   10-19      1-0        42               88.0      1.0
   10-19      2-0        12               99.0      1.0
   20-29      1-0        39               90.0      1.0
   20-29      2-0        14               99.0      1.0
   30-39      1-0        13               92.0      1.0
   30-39      2-0        15               99.0      1.0
   30-39      3-0         5              100.0      1.0
   40-49      1-0        25               92.0      1.0
   40-49      2-0        17               99.0      1.0
   40-49      2-1        20               95.0      1.0
   40-49      3-0         9              100.0      1.0
   40-49      3-1         5               99.0      1.0
   50-59      1-0        16               96.0      1.0
   50-59      2-0        13              100.0      1.0
   50-59      2-1        14               96.0      1.0
   50-59      3-0         7              100.0      1.0
   50-59      3-1         5              100.0      1.0
   60-69      1-0        10               96.0      1.0
   60-69      2-0         8              100.0      1.0
   60-69      2-1        12               98.0      1.0
   60-69      3-0         8              100.0      1.0
   60-69      3-1         5              100.0      1.0
   70-79      1-0         5               99.0      1.0
   70-79      2-0         7              100.0      1.0
   70-79      2-1        11               98.0      1.0
   70-79      3-1         8              100.0      1.0
   80-89      2-1        11              100.0      1.0
   80-89      3-1         8              100.0      1.0
   90-99      2-0         6              100.0      1.0
   90-99      2-1        11              100.0      1.0
   90-99      3-1         7              100.0      1.0
   90-99      3-2         8              100.0      1.0
